Postcode,Latitude,Longitude,Easting,Northing,GridRef,Introduced,Terminated
DN1 1AA,53.523057,-1.134819,457457,403280,SE574032,2002-09-01 00:00:00,
DN1 1AB,53.522764,-1.135263,457428,403247,SE574032,1988-03-01 00:00:00,
DN1 1AD,53.512924,-1.125721,458074,402160,SE580021,1990-02-01 00:00:00,
DN1 1AE,53.522344,-1.135693,457400,403200,SE574032,1990-02-01 00:00:00,1991-12-01 00:00:00
DN1 1AF,53.525921,-1.136797,457322,403597,SE573035,2011-05-01 00:00:00,
DN1 1AH,53.522344,-1.135693,457400,403200,SE574032,1993-01-01 00:00:00,1996-06-01 00:00:00
DN1 1AL,53.522006,-1.138566,457210,403160,SE572031,1994-12-01 00:00:00,1995-07-01 00:00:00
DN1 1AN,53.522057,-1.137027,457312,403167,SE573031,2014-09-01 00:00:00,
DN1 1AP,53.521652,-1.138151,457238,403121,SE572031,1998-06-01 00:00:00,2002-08-01 00:00:00
DN1 1AQ,53.519317,-1.139601,457145,402860,SE571028,1995-12-01 00:00:00,
DN1 1BB,53.523345,-1.134889,457452,403312,SE574033,1980-01-01 00:00:00,
DN1 1BD,53.523327,-1.134768,457460,403310,SE574033,1981-06-01 00:00:00,2001-06-01 00:00:00
DN1 1BE,53.523419,-1.135159,457434,403320,SE574033,1980-01-01 00:00:00,
DN1 1BH,53.523465,-1.135233,457429,403325,SE574033,1980-01-01 00:00:00,
DN1 1BJ,53.523476,-1.135595,457405,403326,SE574033,1980-01-01 00:00:00,
DN1 1BL,53.522589,-1.134693,457466,403228,SE574032,1980-01-01 00:00:00,
DN1 1BN,53.523063,-1.134412,457484,403281,SE574032,1980-01-01 00:00:00,
DN1 1BP,53.522768,-1.134614,457471,403248,SE574032,1980-01-01 00:00:00,
DN1 1BQ,53.523243,-1.135675,457400,403300,SE574033,1990-02-01 00:00:00,1994-05-01 00:00:00
DN1 1BS,53.522344,-1.135693,457400,403200,SE574032,1980-01-01 00:00:00,1991-12-01 00:00:00
DN1 1BT,53.522344,-1.135693,457400,403200,SE574032,1980-01-01 00:00:00,1990-12-01 00:00:00
DN1 1BU,53.522526,-1.134724,457464,403221,SE574032,1980-01-01 00:00:00,2015-01-01 00:00:00
DN1 1BY,53.521446,-1.135712,457400,403100,SE574031,1980-01-01 00:00:00,1991-12-01 00:00:00
DN1 1BZ,53.522458,-1.135193,457433,403213,SE574032,1980-01-01 00:00:00,
DN1 1DA,53.522458,-1.135193,457433,403213,SE574032,1980-01-01 00:00:00,2003-08-01 00:00:00
DN1 1DB,53.522521,-1.135177,457434,403220,SE574032,1980-01-01 00:00:00,
DN1 1DD,53.521978,-1.135912,457386,403159,SE573031,2006-08-01 00:00:00,
DN1 1DE,53.522796,-1.133527,457543,403252,SE575032,1980-01-01 00:00:00,
DN1 1DF,53.522334,-1.134185,457500,403200,SE575032,1980-01-01 00:00:00,1988-12-01 00:00:00
DN1 1DG,53.522989,-1.134112,457504,403273,SE575032,1980-01-01 00:00:00,
DN1 1DH,53.522334,-1.134185,457500,403200,SE575032,1980-01-01 00:00:00,1990-12-01 00:00:00
DN1 1DJ,53.522344,-1.135693,457400,403200,SE574032,1980-01-01 00:00:00,1994-05-01 00:00:00
DN1 1DL,53.52273,-1.133091,457572,403245,SE575032,1980-01-01 00:00:00,
DN1 1DN,53.522613,-1.133078,457573,403232,SE575032,1980-01-01 00:00:00,
DN1 1DP,53.522334,-1.134185,457500,403200,SE575032,1980-01-01 00:00:00,1990-12-01 00:00:00
DN1 1DQ,53.523501,-1.134026,457509,403330,SE575033,1980-01-01 00:00:00,2009-08-01 00:00:00
DN1 1DR,53.523089,-1.133023,457576,403285,SE575032,1980-01-01 00:00:00,1999-06-01 00:00:00
DN1 1DS,53.521457,-1.13722,457300,403100,SE573031,1984-02-01 00:00:00,1985-12-01 00:00:00
DN1 1DT,53.52059,-1.141762,457000,403000,SE570030,1980-01-01 00:00:00,1983-12-01 00:00:00
DN1 1DU,53.524677,-1.138814,457190,403457,SE571034,1997-12-01 00:00:00,2009-10-01 00:00:00
DN1 1DW,53.523115,-1.132917,457583,403288,SE575032,1980-01-01 00:00:00,
DN1 1DY,53.52059,-1.141762,457000,403000,SE570030,1980-01-01 00:00:00,1981-12-01 00:00:00
DN1 1EA,53.523232,-1.134167,457500,403300,SE575033,1983-01-01 00:00:00,1994-05-01 00:00:00
DN1 1EB,53.52059,-1.141762,457000,403000,SE570030,1980-01-01 00:00:00,1985-12-01 00:00:00
DN1 1ED,53.523557,-1.134266,457493,403336,SE574033,1980-01-01 00:00:00,
DN1 1EE,53.523832,-1.13512,457436,403366,SE574033,1992-08-01 00:00:00,
DN1 1EF,53.521577,-1.135166,457436,403115,SE574031,1986-07-01 00:00:00,2000-06-01 00:00:00
DN1 1EG,53.523847,-1.134592,457471,403368,SE574033,1996-12-01 00:00:00,
DN1 1EJ,53.512924,-1.125721,458074,402160,SE580021,1980-01-01 00:00:00,
DN1 1EL,53.523328,-1.133712,457530,403311,SE575033,1980-01-01 00:00:00,2001-05-01 00:00:00
DN1 1EP,53.523232,-1.134167,457500,403300,SE575033,1988-03-01 00:00:00,1990-12-01 00:00:00
DN1 1EQ,53.523243,-1.135675,457400,403300,SE574033,1980-01-01 00:00:00,1990-12-01 00:00:00
DN1 1ER,53.521577,-1.135166,457436,403115,SE574031,1986-07-01 00:00:00,
DN1 1ES,53.523475,-1.13294,457581,403328,SE575033,1980-01-01 00:00:00,
DN1 1ET,53.523232,-1.134167,457500,403300,SE575033,1984-02-01 00:00:00,1994-05-01 00:00:00
DN1 1EU,53.523232,-1.134167,457500,403300,SE575033,1980-01-01 00:00:00,1994-05-01 00:00:00
DN1 1EW,53.523614,-1.13345,457547,403343,SE575033,1980-01-01 00:00:00,
DN1 1EX,53.523827,-1.133174,457565,403367,SE575033,1980-01-01 00:00:00,
DN1 1EY,53.523232,-1.134167,457500,403300,SE575033,1994-12-01 00:00:00,1995-07-01 00:00:00
DN1 1EZ,53.523232,-1.134167,457500,403300,SE575033,1992-01-01 00:00:00,1995-01-01 00:00:00
DN1 1FD,53.512924,-1.125721,458074,402160,SE580021,1993-01-01 00:00:00,
DN1 1GF,53.512924,-1.125721,458074,402160,SE580021,1998-06-01 00:00:00,2006-02-01 00:00:00
DN1 1GG,53.512924,-1.125721,458074,402160,SE580021,2015-03-01 00:00:00,
DN1 1GN,53.512924,-1.125721,458074,402160,SE580021,1999-06-01 00:00:00,2002-09-01 00:00:00
DN1 1HA,53.523232,-1.134167,457500,403300,SE575033,1980-01-01 00:00:00,1981-12-01 00:00:00
DN1 1HB,53.523232,-1.134167,457500,403300,SE575033,1980-01-01 00:00:00,1995-01-01 00:00:00
DN1 1HD,53.523907,-1.132977,457578,403376,SE575033,1980-01-01 00:00:00,
DN1 1HE,53.523281,-1.133397,457551,403306,SE575033,1980-01-01 00:00:00,1999-06-01 00:00:00
DN1 1HF,53.52357,-1.13235,457620,403339,SE576033,1980-01-01 00:00:00,
DN1 1HG,53.523199,-1.132101,457637,403298,SE576032,1980-01-01 00:00:00,
DN1 1HH,53.522866,-1.131987,457645,403261,SE576032,1980-01-01 00:00:00,
DN1 1HJ,53.523221,-1.132659,457600,403300,SE576033,1983-07-01 00:00:00,1991-12-01 00:00:00
DN1 1HL,53.523463,-1.131251,457693,403328,SE576033,1980-01-01 00:00:00,
DN1 1HN,53.523463,-1.131251,457693,403328,SE576033,1980-01-01 00:00:00,2000-09-01 00:00:00
