Postcode,Latitude,Longitude,Easting,Northing,GridRef,Introduced,Terminated
FK1 1AA,56.002002,-3.784778,288795,680221,NS887802,1980-01-01 00:00:00,
FK1 1AD,56.002002,-3.784778,288795,680221,NS887802,1986-08-01 00:00:00,1992-07-01 00:00:00
FK1 1AT,56.00215,-3.786308,288700,680240,NS887802,1975-11-01 00:00:00,1994-12-01 00:00:00
FK1 1AZ,55.996808,-3.785966,288706,679645,NS887796,1990-12-01 00:00:00,
FK1 1BA,55.99773,-3.784356,288809,679745,NS888797,1980-01-01 00:00:00,
FK1 1BB,55.998238,-3.785262,288754,679803,NS887798,1980-01-01 00:00:00,
FK1 1BD,55.998309,-3.784688,288790,679810,NS887798,1973-08-01 00:00:00,1995-12-01 00:00:00
FK1 1BE,55.997981,-3.787495,288614,679778,NS886797,1980-01-01 00:00:00,
FK1 1BF,55.997287,-3.785779,288719,679698,NS887796,1992-10-01 00:00:00,
FK1 1BG,55.997962,-3.786356,288685,679774,NS886797,1980-01-01 00:00:00,
FK1 1BH,55.996808,-3.785966,288706,679645,NS887796,1980-01-01 00:00:00,2005-08-01 00:00:00
FK1 1BJ,55.997708,-3.78899,288520,679750,NS885797,1980-01-01 00:00:00,1998-06-01 00:00:00
FK1 1BL,55.997978,-3.788986,288521,679780,NS885797,1980-01-01 00:00:00,
FK1 1BN,55.997381,-3.787403,288618,679711,NS886797,1980-01-01 00:00:00,
FK1 1BP,55.996319,-3.810252,287190,679630,NS871796,1986-08-01 00:00:00,1992-07-01 00:00:00
FK1 1BQ,55.997737,-3.786393,288682,679749,NS886797,1980-01-01 00:00:00,
FK1 1BS,55.99792,-3.786755,288660,679770,NS886797,1973-08-01 00:00:00,1978-06-01 00:00:00
FK1 1BT,55.997673,-3.788908,288525,679746,NS885797,2012-06-01 00:00:00,
FK1 1BU,55.996306,-3.78652,288670,679590,NS886795,1980-01-01 00:00:00,1994-05-01 00:00:00
FK1 1BW,55.99801,-3.786759,288660,679780,NS886797,1973-08-01 00:00:00,1978-01-01 00:00:00
FK1 1BZ,56.002002,-3.784778,288795,680221,NS887802,2008-11-01 00:00:00,2009-12-01 00:00:00
FK1 1DD,55.999674,-3.785424,288748,679963,NS887799,1980-01-01 00:00:00,
FK1 1DE,55.999645,-3.785551,288740,679960,NS887799,1973-08-01 00:00:00,1992-07-01 00:00:00
FK1 1DF,55.997537,-3.779665,289101,679716,NS891797,1994-02-01 00:00:00,1998-06-01 00:00:00
FK1 1DG,56.000254,-3.78691,288657,680030,NS886800,1980-01-01 00:00:00,
