Postcode,Latitude,Longitude,Easting,Northing,GridRef,Introduced,Terminated
DL1 1AA,54.522097,-1.550751,429177,514182,NZ291141,1990-02-01 00:00:00,
DL1 1AB,54.526582,-1.553267,429011,514680,NZ290146,1982-03-01 00:00:00,
DL1 1AD,54.523162,-1.551929,429100,514300,NZ291143,1982-03-01 00:00:00,1990-12-01 00:00:00
DL1 1AG,54.522803,-1.53775,430018,514266,NZ300142,2004-03-01 00:00:00,
DL1 1AN,54.526582,-1.553267,429011,514680,NZ290146,1987-10-01 00:00:00,
DL1 1AQ,54.522097,-1.550751,429177,514182,NZ291141,1997-12-01 00:00:00,2003-11-01 00:00:00
DL1 1AR,54.528236,-1.51377,431566,514881,NZ315148,2005-07-01 00:00:00,
DL1 1AS,54.528365,-1.516858,431366,514894,NZ313148,2008-04-01 00:00:00,
DL1 1AT,54.530344,-1.526447,430744,515110,NZ307151,2010-05-01 00:00:00,
DL1 1AU,54.52799,-1.538032,429996,514843,NZ299148,2015-03-01 00:00:00,
DL1 1BA,54.522671,-1.526906,430720,514256,NZ307142,1980-01-01 00:00:00,
DL1 1BB,54.522169,-1.527221,430700,514200,NZ307142,1980-01-01 00:00:00,1995-01-01 00:00:00
DL1 1BD,54.522197,-1.522771,430988,514205,NZ309142,1980-01-01 00:00:00,
DL1 1BE,54.521806,-1.519361,431209,514163,NZ312141,1980-01-01 00:00:00,
DL1 1BG,54.521995,-1.519452,431203,514184,NZ312141,1980-01-01 00:00:00,
DL1 1BH,54.522292,-1.519557,431196,514217,NZ311142,1980-01-01 00:00:00,
DL1 1BJ,54.522817,-1.520446,431138,514275,NZ311142,1980-01-01 00:00:00,
DL1 1BL,54.52367,-1.520344,431144,514370,NZ311143,1980-01-01 00:00:00,
DL1 1BN,54.52291,-1.519101,431225,514286,NZ312142,1980-01-01 00:00:00,
DL1 1BP,54.523037,-1.519486,431200,514300,NZ312143,1980-01-01 00:00:00,1994-12-01 00:00:00
DL1 1BQ,54.523304,-1.521012,431101,514329,NZ311143,1980-01-01 00:00:00,
DL1 1BW,54.523215,-1.518974,431233,514320,NZ312143,1980-01-01 00:00:00,
DL1 1DA,54.525611,-1.520275,431147,514586,NZ311145,1980-01-01 00:00:00,
DL1 1DB,54.525765,-1.520675,431121,514603,NZ311146,1980-01-01 00:00:00,
DL1 1DD,54.524384,-1.521309,431081,514449,NZ310144,1980-01-01 00:00:00,
DL1 1DE,54.525905,-1.522033,431033,514618,NZ310146,1980-01-01 00:00:00,
DL1 1DF,54.524918,-1.522446,431007,514508,NZ310145,1980-01-01 00:00:00,
DL1 1DG,54.523734,-1.522846,430982,514376,NZ309143,1980-01-01 00:00:00,
DL1 1DH,54.525454,-1.523799,430919,514567,NZ309145,1980-01-01 00:00:00,
DL1 1DJ,54.524149,-1.52332,430951,514422,NZ309144,1980-01-01 00:00:00,
DL1 1DL,54.523865,-1.524312,430887,514390,NZ308143,1980-01-01 00:00:00,
DL1 1DN,54.522782,-1.522965,430975,514270,NZ309142,1980-01-01 00:00:00,
DL1 1DP,54.523381,-1.524658,430865,514336,NZ308143,1980-01-01 00:00:00,
DL1 1DQ,54.524924,-1.523774,430921,514508,NZ309145,1980-01-01 00:00:00,
DL1 1DR,54.530142,-1.541654,429760,515081,NZ297150,2006-04-01 00:00:00,
DL1 1DS,54.528124,-1.552338,429070,514852,NZ290148,1995-07-01 00:00:00,
DL1 1DT,54.524648,-1.538425,429973,514471,NZ299144,1982-03-01 00:00:00,
DL1 1DU,54.525243,-1.53882,429947,514537,NZ299145,1983-03-01 00:00:00,
DL1 1DW,54.523221,-1.522605,430998,514319,NZ309143,1980-01-01 00:00:00,
DL1 1DX,54.524811,-1.538763,429951,514489,NZ299144,1983-01-01 00:00:00,
DL1 1DY,54.524952,-1.54043,429843,514504,NZ298145,1984-02-01 00:00:00,
DL1 1DZ,54.523314,-1.542117,429735,514321,NZ297143,1980-01-01 00:00:00,
DL1 1EA,54.523364,-1.54105,429804,514327,NZ298143,1980-01-01 00:00:00,
DL1 1EB,54.523493,-1.539457,429907,514342,NZ299143,1980-01-01 00:00:00,
DL1 1ED,54.523516,-1.536104,430124,514346,NZ301143,1980-01-01 00:00:00,
DL1 1EE,54.523602,-1.532782,430339,514357,NZ303143,1980-01-01 00:00:00,
DL1 1EF,54.523203,-1.529635,430543,514314,NZ305143,1980-01-01 00:00:00,
DL1 1EG,54.524008,-1.528497,430616,514404,NZ306144,1980-01-01 00:00:00,
DL1 1EH,54.524118,-1.526936,430717,514417,NZ307144,1980-01-01 00:00:00,
DL1 1EJ,54.526974,-1.526393,430750,514735,NZ307147,1980-01-01 00:00:00,
DL1 1EL,54.52661,-1.523029,430968,514696,NZ309146,1980-01-01 00:00:00,
DL1 1EN,54.525834,-1.529033,430580,514607,NZ305146,1980-01-01 00:00:00,
DL1 1EP,54.524193,-1.529948,430522,514424,NZ305144,1980-01-01 00:00:00,
DL1 1EQ,54.524071,-1.526442,430749,514412,NZ307144,1980-01-01 00:00:00,
DL1 1ER,54.525022,-1.530479,430487,514516,NZ304145,1980-01-01 00:00:00,
DL1 1ES,54.52427,-1.531384,430429,514432,NZ304144,1980-01-01 00:00:00,
DL1 1ET,54.525812,-1.53254,430353,514603,NZ303146,1980-01-01 00:00:00,2010-12-01 00:00:00
DL1 1EU,54.524476,-1.53339,430299,514454,NZ302144,1980-01-01 00:00:00,
DL1 1EW,54.525186,-1.5287,430602,514535,NZ306145,1980-01-01 00:00:00,
DL1 1EX,54.524179,-1.5333,430305,514421,NZ303144,1980-01-01 00:00:00,
DL1 1EY,54.523769,-1.536611,430091,514374,NZ300143,1980-01-01 00:00:00,
DL1 1EZ,54.524129,-1.536607,430091,514414,NZ300144,1980-01-01 00:00:00,
DL1 1FF,54.525699,-1.53129,430434,514591,NZ304145,2015-02-01 00:00:00,
DL1 1FG,54.525738,-1.53679,430078,514593,NZ300145,1994-05-01 00:00:00,2000-11-01 00:00:00
DL1 1FJ,54.526046,-1.530452,430488,514630,NZ304146,2015-03-01 00:00:00,
DL1 1FL,54.541147,-1.554823,428900,516300,NZ289163,1990-02-01 00:00:00,1996-12-01 00:00:00
DL1 1GA,54.524979,-1.54766,429375,514504,NZ293145,1988-03-01 00:00:00,
