Postcode,Latitude,Longitude,Easting,Northing,GridRef,Introduced,Terminated
M12 4AA,53.456944,-2.199701,386837,395595,SJ868955,2000-06-01 00:00:00,
M12 4AF,53.459424,-2.200149,386808,395871,SJ868958,2000-02-01 00:00:00,2000-09-01 00:00:00
M12 4AJ,53.459451,-2.199999,386818,395874,SJ868958,1996-06-01 00:00:00,1997-12-01 00:00:00
M12 4AU,53.459451,-2.199999,386818,395874,SJ868958,1994-05-01 00:00:00,1997-12-01 00:00:00
M12 4AX,53.459424,-2.200149,386808,395871,SJ868958,1994-12-01 00:00:00,2000-06-01 00:00:00
M12 4AZ,53.461001,-2.192053,387346,396045,SJ873960,2014-09-01 00:00:00,
M12 4BX,53.459406,-2.200269,386800,395869,SJ868958,1993-01-01 00:00:00,1998-12-01 00:00:00
M12 4DF,53.451873,-2.194979,387149,395030,SJ871950,1996-06-01 00:00:00,
M12 4EJ,53.459406,-2.200269,386800,395869,SJ868958,1998-06-01 00:00:00,1999-06-01 00:00:00
M12 4EU,53.459674,-2.206295,386400,395900,SJ864959,1990-07-01 00:00:00,1995-01-01 00:00:00
M12 4FU,53.459388,-2.20033,386796,395867,SJ867958,1999-06-01 00:00:00,2000-09-01 00:00:00
M12 4FX,53.459067,-2.203717,386571,395832,SJ865958,1980-01-01 00:00:00,
M12 4GA,53.453058,-2.195842,387092,395162,SJ870951,1980-01-01 00:00:00,
M12 4GB,53.452152,-2.194814,387160,395061,SJ871950,1980-01-01 00:00:00,
M12 4GD,53.450518,-2.193421,387252,394879,SJ872948,1980-01-01 00:00:00,
M12 4GE,53.450428,-2.193798,387227,394869,SJ872948,1980-01-01 00:00:00,
M12 4GF,53.449812,-2.19119,387400,394800,SJ874948,1995-01-01 00:00:00,1995-12-01 00:00:00
M12 4GG,53.449684,-2.186792,387692,394785,SJ876947,1980-01-01 00:00:00,
M12 4GH,53.449565,-2.193974,387215,394773,SJ872947,1980-01-01 00:00:00,
M12 4GJ,53.452672,-2.195449,387118,395119,SJ871951,1983-03-01 00:00:00,
M12 4GL,53.448012,-2.192687,387300,394600,SJ873946,1980-01-01 00:00:00,1997-06-01 00:00:00
M12 4GN,53.449615,-2.190481,387447,394778,SJ874947,1980-01-01 00:00:00,
M12 4GP,53.449617,-2.189201,387532,394778,SJ875947,1980-01-01 00:00:00,
M12 4GQ,53.449683,-2.187395,387652,394785,SJ876947,1980-01-01 00:00:00,
M12 4GR,53.451005,-2.180956,388080,394931,SJ880949,2011-12-01 00:00:00,
M12 4GW,53.449607,-2.189789,387493,394777,SJ874947,1980-01-01 00:00:00,
M12 4GX,53.449814,-2.189684,387500,394800,SJ875948,1996-06-01 00:00:00,1998-06-01 00:00:00
M12 4HA,53.457951,-2.194058,387212,395706,SJ872957,1994-05-01 00:00:00,
M12 4HF,53.459388,-2.20033,386796,395867,SJ867958,1995-01-01 00:00:00,2001-01-01 00:00:00
M12 4HJ,53.459424,-2.200149,386808,395871,SJ868958,1998-12-01 00:00:00,2000-06-01 00:00:00
M12 4HP,53.458381,-2.194903,387156,395754,SJ871957,1981-09-01 00:00:00,
M12 4HU,53.459451,-2.199999,386818,395874,SJ868958,1995-01-01 00:00:00,1998-06-01 00:00:00
M12 4JA,53.456961,-2.200062,386813,395597,SJ868955,1981-06-01 00:00:00,2013-12-01 00:00:00
M12 4JH,53.457141,-2.200334,386795,395617,SJ867956,1980-01-01 00:00:00,
M12 4JJ,53.45687,-2.2008,386764,395587,SJ867955,1980-01-01 00:00:00,
M12 4JQ,53.456985,-2.201764,386700,395600,SJ867956,1990-02-01 00:00:00,1991-12-01 00:00:00
M12 4JU,53.461993,-2.190431,387454,396155,SJ874961,1983-07-01 00:00:00,
M12 4JW,53.459677,-2.204789,386500,395900,SJ865959,1980-01-01 00:00:00,1981-12-01 00:00:00
M12 4JX,53.461308,-2.191151,387406,396079,SJ874960,1983-07-01 00:00:00,
M12 4JY,53.462198,-2.191517,387382,396178,SJ873961,1983-07-01 00:00:00,
M12 4JZ,53.462369,-2.191066,387412,396197,SJ874961,1983-07-01 00:00:00,
M12 4LA,53.458504,-2.196907,387023,395768,SJ870957,1992-08-01 00:00:00,
M12 4LB,53.459372,-2.199049,386881,395865,SJ868958,1994-05-01 00:00:00,
M12 4LF,53.459406,-2.200269,386800,395869,SJ868958,1997-06-01 00:00:00,1999-12-01 00:00:00
M12 4LJ,53.457303,-2.200214,386803,395635,SJ868956,2006-06-01 00:00:00,2006-07-01 00:00:00
M12 4LL,53.457562,-2.200728,386769,395664,SJ867956,1980-01-01 00:00:00,
M12 4LW,53.460663,-2.195335,387128,396008,SJ871960,1994-05-01 00:00:00,
M12 4LY,53.457887,-2.200262,386800,395700,SJ868957,1980-01-01 00:00:00,1981-12-01 00:00:00
M12 4NB,53.459652,-2.198388,386925,395896,SJ869958,1980-01-01 00:00:00,
M12 4NE,53.457814,-2.20097,386753,395692,SJ867956,1992-01-01 00:00:00,
M12 4NF,53.458983,-2.194725,387168,395821,SJ871958,1980-01-01 00:00:00,
M12 4NH,53.457466,-2.199462,386853,395653,SJ868956,1980-01-01 00:00:00,
M12 4NJ,53.457814,-2.200955,386754,395692,SJ867956,1981-06-01 00:00:00,2009-06-01 00:00:00
M12 4NL,53.457028,-2.197532,386981,395604,SJ869956,1980-01-01 00:00:00,
M12 4NN,53.458531,-2.202027,386683,395772,SJ866957,1987-04-01 00:00:00,
M12 4NS,53.454254,-2.195456,387118,395295,SJ871952,1980-01-01 00:00:00,
M12 4NT,53.454319,-2.194433,387186,395302,SJ871953,1980-01-01 00:00:00,
M12 4NU,53.454743,-2.193652,387238,395349,SJ872953,1980-01-01 00:00:00,
M12 4NW,53.461058,-2.195593,387111,396052,SJ871960,1986-07-01 00:00:00,
M12 4NX,53.454577,-2.195864,387091,395331,SJ870953,1980-01-01 00:00:00,
M12 4NY,53.455332,-2.196139,387073,395415,SJ870954,1980-01-01 00:00:00,
M12 4NZ,53.4557,-2.196336,387060,395456,SJ870954,1980-01-01 00:00:00,
M12 4PA,53.455479,-2.194107,387208,395431,SJ872954,1980-01-01 00:00:00,
M12 4PB,53.456054,-2.19438,387190,395495,SJ871954,1980-01-01 00:00:00,
M12 4PD,53.456467,-2.194563,387178,395541,SJ871955,1980-01-01 00:00:00,
M12 4PE,53.456594,-2.19372,387234,395555,SJ872955,1980-01-01 00:00:00,
M12 4PF,53.456569,-2.192425,387320,395552,SJ873955,1980-01-01 00:00:00,
M12 4PH,53.457073,-2.192126,387340,395608,SJ873956,1980-01-01 00:00:00,
M12 4PJ,53.457981,-2.19198,387350,395709,SJ873957,1980-01-01 00:00:00,
M12 4PZ,53.460301,-2.196885,387025,395968,SJ870959,1987-04-01 00:00:00,
M12 4QA,53.453822,-2.19571,387101,395247,SJ871952,1980-01-01 00:00:00,
M12 4QB,53.451605,-2.194209,387200,395000,SJ872950,1980-01-01 00:00:00,1984-12-01 00:00:00
M12 4QD,53.451361,-2.194976,387149,394973,SJ871949,1980-01-01 00:00:00,
M12 4QE,53.450932,-2.193213,387266,394925,SJ872949,1992-01-01 00:00:00,
M12 4QF,53.45111,-2.194734,387165,394945,SJ871949,1980-01-01 00:00:00,
M12 4QG,53.449673,-2.187982,387613,394784,SJ876947,1980-01-01 00:00:00,
M12 4QH,53.449978,-2.194262,387196,394819,SJ871948,1980-01-01 00:00:00,
M12 4QJ,53.44917,-2.19328,387261,394729,SJ872947,1980-01-01 00:00:00,
M12 4QL,53.449109,-2.192557,387309,394722,SJ873947,1980-01-01 00:00:00,
M12 4QN,53.449568,-2.191942,387350,394773,SJ873947,1980-01-01 00:00:00,
M12 4QP,53.449264,-2.191127,387404,394739,SJ874947,1980-01-01 00:00:00,2004-10-01 00:00:00
M12 4QQ,53.449699,-2.188584,387573,394787,SJ875947,1980-01-01 00:00:00,
M12 4QR,53.454294,-2.198739,386900,395300,SJ869953,1980-01-01 00:00:00,2000-11-01 00:00:00
M12 4QW,53.449147,-2.190765,387428,394726,SJ874947,1980-01-01 00:00:00,
M12 4QZ,53.451846,-2.19525,387131,395027,SJ871950,1994-05-01 00:00:00,
M12 4RQ,53.460159,-2.196161,387073,395952,SJ870959,1995-01-01 00:00:00,
M12 4RX,53.463891,-2.194868,387160,396367,SJ871963,1990-02-01 00:00:00,
M12 4SF,53.463285,-2.197275,387000,396300,SJ870963,1980-01-01 00:00:00,1988-12-01 00:00:00
M12 4SH,53.459388,-2.20033,386796,395867,SJ867958,1999-12-01 00:00:00,2000-09-01 00:00:00
M12 4SJ,53.459406,-2.200269,386800,395869,SJ868958,1997-12-01 00:00:00,1999-06-01 00:00:00
M12 4TA,53.460703,-2.193257,387266,396012,SJ872960,1987-04-01 00:00:00,
M12 4TB,53.46161,-2.193427,387255,396113,SJ872961,1987-04-01 00:00:00,
M12 4TD,53.461988,-2.193082,387278,396155,SJ872961,1990-07-01 00:00:00,
M12 4TE,53.461225,-2.192582,387311,396070,SJ873960,1994-05-01 00:00:00,
M12 4TF,53.45992,-2.193374,387258,395925,SJ872959,2002-10-01 00:00:00,
M12 4TH,53.461163,-2.191783,387364,396063,SJ873960,2014-09-01 00:00:00,
M12 4TL,53.459388,-2.20033,386796,395867,SJ867958,2000-12-01 00:00:00,2001-05-01 00:00:00
M12 4TP,53.460714,-2.192007,387349,396013,SJ873960,2014-09-01 00:00:00,
M12 4UG,53.457048,-2.196599,387043,395606,SJ870956,2004-02-01 00:00:00,
M12 4UH,53.461073,-2.192054,387346,396053,SJ873960,1994-05-01 00:00:00,2008-08-01 00:00:00
M12 4UJ,53.460818,-2.194417,387189,396025,SJ871960,1994-05-01 00:00:00,
M12 4WA,53.459305,-2.201338,386729,395858,SJ867958,1980-01-01 00:00:00,
M12 4WB,53.459431,-2.195796,387097,395871,SJ870958,1983-07-01 00:00:00,
M12 4WE,53.459045,-2.195855,387093,395828,SJ870958,1980-01-01 00:00:00,
M12 4WF,53.459267,-2.197076,387012,395853,SJ870958,1980-01-01 00:00:00,
M12 4WJ,53.460295,-2.194927,387155,395967,SJ871959,1985-10-01 00:00:00,
M12 4WL,53.45732,-2.19526,387132,395636,SJ871956,1980-01-01 00:00:00,
M12 4WN,53.45696,-2.19565,387106,395596,SJ871955,1980-01-01 00:00:00,
M12 4WS,53.453707,-2.194927,387153,395234,SJ871952,1980-01-01 00:00:00,
M12 4WT,53.454194,-2.193604,387241,395288,SJ872952,1980-01-01 00:00:00,
M12 4WU,53.45538,-2.193865,387224,395420,SJ872954,1980-01-01 00:00:00,
M12 4WW,53.461572,-2.194707,387170,396109,SJ871961,1986-07-01 00:00:00,
M12 4WX,53.454739,-2.195941,387086,395349,SJ870953,1980-01-01 00:00:00,
M12 4WY,53.454947,-2.195189,387136,395372,SJ871953,1980-01-01 00:00:00,
M12 4WZ,53.455882,-2.195298,387129,395476,SJ871954,1980-01-01 00:00:00,
M12 5AF,53.460238,-2.191478,387384,395960,SJ873959,1996-06-01 00:00:00,2000-09-01 00:00:00
M12 5AH,53.460238,-2.191478,387384,395960,SJ873959,1999-06-01 00:00:00,2000-06-01 00:00:00
M12 5AJ,53.460238,-2.191478,387384,395960,SJ873959,1995-12-01 00:00:00,2000-06-01 00:00:00
M12 5AL,53.46354,-2.189263,387532,396327,SJ875963,1994-05-01 00:00:00,
M12 5AS,53.469153,-2.186622,387709,396951,SJ877969,1995-07-01 00:00:00,
M12 5AX,53.457605,-2.196963,387019,395668,SJ870956,1994-05-01 00:00:00,
M12 5AY,53.460238,-2.191478,387384,395960,SJ873959,1999-06-01 00:00:00,2001-05-01 00:00:00
M12 5BF,53.460238,-2.191478,387384,395960,SJ873959,1994-12-01 00:00:00,1999-12-01 00:00:00
M12 5DD,53.471507,-2.193412,387259,397214,SJ872972,1991-09-01 00:00:00,
M12 5DE,53.470733,-2.193529,387251,397128,SJ872971,1980-01-01 00:00:00,
M12 5DF,53.469557,-2.193132,387277,396997,SJ872969,1980-01-01 00:00:00,
M12 5DJ,53.469936,-2.191732,387370,397039,SJ873970,1980-01-01 00:00:00,
M12 5DL,53.470252,-2.190875,387427,397074,SJ874970,1980-01-01 00:00:00,
M12 5FG,53.469967,-2.189654,387508,397042,SJ875970,2003-09-01 00:00:00,
M12 5FL,53.465248,-2.194844,387162,396518,SJ871965,1980-01-01 00:00:00,
M12 5FZ,53.452986,-2.190316,387459,395153,SJ874951,2013-03-01 00:00:00,
M12 5GA,53.456286,-2.189788,387495,395520,SJ874955,1984-02-01 00:00:00,
M12 5GB,53.456189,-2.188794,387561,395509,SJ875955,1984-02-01 00:00:00,
M12 5GD,53.457151,-2.194144,387206,395617,SJ872956,1980-01-01 00:00:00,
M12 5GE,53.457638,-2.193228,387267,395671,SJ872956,1980-01-01 00:00:00,
M12 5GF,53.458015,-2.193621,387241,395713,SJ872957,1980-01-01 00:00:00,
M12 5GH,53.457875,-2.19103,387413,395697,SJ874956,1980-01-01 00:00:00,
M12 5GJ,53.458314,-2.197267,386999,395747,SJ869957,1981-09-01 00:00:00,
M12 5GL,53.459916,-2.190618,387441,395924,SJ874959,1995-12-01 00:00:00,2014-10-01 00:00:00
M12 5GN,53.453715,-2.189596,387507,395234,SJ875952,2013-04-01 00:00:00,
M12 5GP,53.454335,-2.189975,387482,395303,SJ874953,2013-11-01 00:00:00,
M12 5GR,53.455244,-2.189377,387522,395404,SJ875954,1994-05-01 00:00:00,
M12 5GW,53.459697,-2.19274,387300,395900,SJ873959,1980-01-01 00:00:00,1981-12-01 00:00:00
M12 5GX,53.455407,-2.188504,387580,395422,SJ875954,1994-05-01 00:00:00,
M12 5GY,53.454731,-2.189842,387491,395347,SJ874953,1980-01-01 00:00:00,
M12 5GZ,53.454471,-2.189584,387508,395318,SJ875953,1980-01-01 00:00:00,
M12 5HA,53.467383,-2.192112,387344,396755,SJ873967,1980-01-01 00:00:00,
M12 5HB,53.46793,-2.193184,387273,396816,SJ872968,1980-01-01 00:00:00,
M12 5HD,53.46836,-2.193668,387241,396864,SJ872968,1980-01-01 00:00:00,
M12 5HE,53.466842,-2.193014,387284,396695,SJ872966,1980-01-01 00:00:00,
M12 5HF,53.466481,-2.193841,387229,396655,SJ872966,1980-01-01 00:00:00,
M12 5HG,53.467167,-2.192126,387343,396731,SJ873967,1994-05-01 00:00:00,
M12 5HH,53.467032,-2.192246,387335,396716,SJ873967,1994-05-01 00:00:00,
M12 5HJ,53.467697,-2.192701,387305,396790,SJ873967,1994-05-01 00:00:00,
M12 5HL,53.467354,-2.193061,387281,396752,SJ872967,1994-05-01 00:00:00,
M12 5HN,53.46765,-2.193816,387231,396785,SJ872967,1994-05-01 00:00:00,
M12 5HP,53.467694,-2.194147,387209,396790,SJ872967,1994-05-01 00:00:00,
M12 5HQ,53.466635,-2.1936,387245,396672,SJ872966,1994-05-01 00:00:00,
M12 5HR,53.467254,-2.19398,387220,396741,SJ872967,1994-05-01 00:00:00,
M12 5HS,53.458652,-2.19376,387232,395784,SJ872957,1981-09-01 00:00:00,
M12 5HT,53.467021,-2.193843,387229,396715,SJ872967,1994-05-01 00:00:00,
M12 5HU,53.458209,-2.195399,387123,395735,SJ871957,1994-05-01 00:00:00,
M12 5HW,53.457948,-2.195534,387114,395706,SJ871957,1994-05-01 00:00:00,
M12 5HZ,53.468846,-2.193264,387268,396918,SJ872969,2004-01-01 00:00:00,2004-01-01 00:00:00
M12 5JG,53.467994,-2.192462,387321,396823,SJ873968,1980-01-01 00:00:00,
M12 5JS,53.46689,-2.191267,387400,396700,SJ874967,1993-01-01 00:00:00,1995-07-01 00:00:00
M12 5JT,53.468759,-2.191742,387369,396908,SJ873969,1980-01-01 00:00:00,
M12 5JY,53.467494,-2.190079,387479,396767,SJ874967,1980-01-01 00:00:00,
M12 5LA,53.468206,-2.188968,387553,396846,SJ875968,1980-01-01 00:00:00,
M12 5LB,53.468249,-2.190309,387464,396851,SJ874968,1994-05-01 00:00:00,
M12 5LD,53.467667,-2.188589,387578,396786,SJ875967,1980-01-01 00:00:00,
M12 5LU,53.467819,-2.188981,387552,396803,SJ875968,1994-05-01 00:00:00,
M12 5LX,53.467711,-2.189387,387525,396791,SJ875967,1994-05-01 00:00:00,
M12 5LZ,53.469699,-2.188101,387611,397012,SJ876970,1995-07-01 00:00:00,
M12 5NF,53.469584,-2.192785,387300,397000,SJ873970,1980-01-01 00:00:00,1981-12-01 00:00:00
M12 5NG,53.464785,-2.19201,387350,396466,SJ873964,1992-01-01 00:00:00,
M12 5NQ,53.465134,-2.193142,387275,396505,SJ872965,1980-01-01 00:00:00,
M12 5NS,53.466573,-2.192485,387319,396665,SJ873966,1994-05-01 00:00:00,
M12 5NT,53.466006,-2.193432,387256,396602,SJ872966,1980-01-01 00:00:00,
M12 5NX,53.46589,-2.192347,387328,396589,SJ873965,1980-01-01 00:00:00,
M12 5NY,53.460238,-2.191478,387384,395960,SJ873959,2000-06-01 00:00:00,2001-07-01 00:00:00
M12 5PA,53.465848,-2.190735,387435,396584,SJ874965,1984-02-01 00:00:00,
M12 5PB,53.468961,-2.188625,387576,396930,SJ875969,1984-10-01 00:00:00,
M12 5PD,53.469666,-2.192062,387348,397009,SJ873970,1984-10-01 00:00:00,
M12 5PE,53.469226,-2.191804,387365,396960,SJ873969,1984-10-01 00:00:00,
M12 5PF,53.469264,-2.190328,387463,396964,SJ874969,1984-10-01 00:00:00,
M12 5PG,53.464198,-2.188242,387600,396400,SJ876964,1980-01-01 00:00:00,1988-12-01 00:00:00
M12 5PH,53.46914,-2.189499,387518,396950,SJ875969,1984-10-01 00:00:00,
M12 5PJ,53.469114,-2.188671,387573,396947,SJ875969,1986-04-01 00:00:00,1997-06-01 00:00:00
M12 5PL,53.469089,-2.187857,387627,396944,SJ876969,1994-05-01 00:00:00,
M12 5PN,53.469605,-2.191143,387409,397002,SJ874970,1994-05-01 00:00:00,
M12 5PP,53.465768,-2.190478,387452,396575,SJ874965,1980-01-01 00:00:00,
M12 5PQ,53.465894,-2.189937,387488,396589,SJ874965,1980-01-01 00:00:00,
M12 5PR,53.464064,-2.187594,387643,396385,SJ876963,1980-01-01 00:00:00,
M12 5PS,53.463351,-2.18372,387900,396305,SJ879963,1980-01-01 00:00:00,
M12 5PT,53.470132,-2.192833,387297,397061,SJ872970,1994-05-01 00:00:00,
M12 5PU,53.46958,-2.189802,387498,396999,SJ874969,1994-05-01 00:00:00,
M12 5PW,53.466263,-2.189968,387486,396630,SJ874966,1980-01-01 00:00:00,
M12 5PY,53.466584,-2.191235,387402,396666,SJ874966,1994-05-01 00:00:00,
M12 5QA,53.454843,-2.187372,387655,395359,SJ876953,1994-05-01 00:00:00,
M12 5QB,53.454645,-2.187146,387670,395337,SJ876953,1994-05-01 00:00:00,
M12 5QD,53.45661,-2.194774,387164,395557,SJ871955,1980-01-01 00:00:00,
M12 5QE,53.457358,-2.193633,387240,395640,SJ872956,1980-01-01 00:00:00,
M12 5QF,53.457521,-2.193122,387274,395658,SJ872956,1980-01-01 00:00:00,
M12 5QG,53.454196,-2.186782,387694,395287,SJ876952,1994-05-01 00:00:00,
M12 5QH,53.458565,-2.192464,387318,395774,SJ873957,1980-01-01 00:00:00,
M12 5QJ,53.457709,-2.187972,387616,395678,SJ876956,2004-01-01 00:00:00,
M12 5QL,53.454214,-2.186858,387689,395289,SJ876952,1994-05-01 00:00:00,
M12 5QN,53.459916,-2.190618,387441,395924,SJ874959,1980-01-01 00:00:00,2014-10-01 00:00:00
M12 5QP,53.45443,-2.186994,387680,395313,SJ876953,1994-05-01 00:00:00,
M12 5QQ,53.459697,-2.19274,387300,395900,SJ873959,1980-01-01 00:00:00,1981-12-01 00:00:00
M12 5QR,53.459025,-2.191141,387406,395825,SJ874958,1996-06-01 00:00:00,2015-02-01 00:00:00
M12 5QW,53.4588,-2.19123,387400,395800,SJ874958,1994-05-01 00:00:00,1994-12-01 00:00:00
M12 5QY,53.45388,-2.193542,387245,395253,SJ872952,1980-01-01 00:00:00,
M12 5QZ,53.453647,-2.192848,387291,395227,SJ872952,1980-01-01 00:00:00,
M12 5RA,53.454294,-2.187656,387636,395298,SJ876952,1980-01-01 00:00:00,
M12 5RB,53.454024,-2.187926,387618,395268,SJ876952,1980-01-01 00:00:00,
M12 5RD,53.454229,-2.188815,387559,395291,SJ875952,1980-01-01 00:00:00,
M12 5RE,53.454229,-2.188815,387559,395291,SJ875952,1980-01-01 00:00:00,
M12 5RF,53.455764,-2.190238,387465,395462,SJ874954,1980-01-01 00:00:00,
M12 5RG,53.454648,-2.19085,387424,395338,SJ874953,1980-01-01 00:00:00,
M12 5RH,53.455203,-2.19272,387300,395400,SJ873954,1995-07-01 00:00:00,1999-06-01 00:00:00
M12 5RJ,53.45622,-2.191791,387362,395513,SJ873955,1980-01-01 00:00:00,
M12 5RL,53.456094,-2.191474,387383,395499,SJ873954,1980-01-01 00:00:00,
M12 5RN,53.455753,-2.191382,387389,395461,SJ873954,1980-01-01 00:00:00,
M12 5RP,53.455241,-2.190898,387421,395404,SJ874954,1980-01-01 00:00:00,
M12 5RQ,53.455186,-2.19156,387377,395398,SJ873953,1980-01-01 00:00:00,
M12 5RR,53.454681,-2.192883,387289,395342,SJ872953,1980-01-01 00:00:00,
M12 5RS,53.45531,-2.192856,387291,395412,SJ872954,1980-01-01 00:00:00,
M12 5RT,53.455715,-2.192542,387312,395457,SJ873954,1980-01-01 00:00:00,
M12 5RU,53.453201,-2.190844,387424,395177,SJ874951,1980-01-01 00:00:00,
M12 5RW,53.455269,-2.190657,387437,395407,SJ874954,1980-01-01 00:00:00,
M12 5RY,53.455901,-2.188762,387563,395477,SJ875954,1994-05-01 00:00:00,
M12 5RZ,53.453405,-2.192712,387300,395200,SJ873952,1990-02-01 00:00:00,1994-05-01 00:00:00
M12 5SA,53.46858,-2.191244,387402,396888,SJ874968,1994-05-01 00:00:00,
M12 5SB,53.468426,-2.191846,387362,396871,SJ873968,1994-05-01 00:00:00,
M12 5SD,53.4684,-2.191258,387401,396868,SJ874968,1994-05-01 00:00:00,
M12 5SE,53.450425,-2.190349,387456,394868,SJ874948,1994-05-01 00:00:00,
M12 5SG,53.450319,-2.188964,387548,394856,SJ875948,1980-01-01 00:00:00,
M12 5SH,53.450746,-2.191646,387370,394904,SJ873949,1980-01-01 00:00:00,
M12 5SJ,53.450127,-2.19095,387416,394835,SJ874948,1980-01-01 00:00:00,
M12 5SL,53.449929,-2.191296,387393,394813,SJ873948,1980-01-01 00:00:00,
M12 5SN,53.450747,-2.191314,387392,394904,SJ873949,1980-01-01 00:00:00,
M12 5SP,53.44992,-2.191025,387411,394812,SJ874948,1981-06-01 00:00:00,
M12 5SQ,53.450911,-2.18993,387484,394922,SJ874949,1980-01-01 00:00:00,
M12 5SR,53.449953,-2.187291,387659,394815,SJ876948,1980-01-01 00:00:00,
M12 5SS,53.450718,-2.186677,387700,394900,SJ877949,1980-01-01 00:00:00,1981-12-01 00:00:00
M12 5ST,53.450582,-2.187203,387665,394885,SJ876948,1983-07-01 00:00:00,
M12 5SU,53.450436,-2.188934,387550,394869,SJ875948,1980-01-01 00:00:00,
M12 5SW,53.450541,-2.190756,387429,394881,SJ874948,1980-01-01 00:00:00,
M12 5SX,53.451083,-2.188877,387554,394941,SJ875949,1980-01-01 00:00:00,
M12 5SY,53.451998,-2.189814,387492,395043,SJ874950,1980-01-01 00:00:00,
M12 5SZ,53.452926,-2.18884,387557,395146,SJ875951,1980-01-01 00:00:00,
M12 5TA,53.453072,-2.187229,387664,395162,SJ876951,1980-01-01 00:00:00,
M12 5TB,53.453243,-2.186929,387684,395181,SJ876951,1980-01-01 00:00:00,
M12 5TD,53.452884,-2.186852,387689,395141,SJ876951,1980-01-01 00:00:00,
M12 5TE,53.452516,-2.18676,387695,395100,SJ876951,1980-01-01 00:00:00,
M12 5TF,53.452711,-2.188176,387601,395122,SJ876951,1980-01-01 00:00:00,
M12 5TH,53.452719,-2.188869,387555,395123,SJ875951,1980-01-01 00:00:00,
M12 5TJ,53.452567,-2.188447,387583,395106,SJ875951,1980-01-01 00:00:00,
M12 5TL,53.452134,-2.189529,387511,395058,SJ875950,1980-01-01 00:00:00,
M12 5TN,53.451245,-2.188667,387568,394959,SJ875949,1980-01-01 00:00:00,
M12 5TP,53.451545,-2.186891,387686,394992,SJ876949,1980-01-01 00:00:00,
M12 5TU,53.460238,-2.191478,387384,395960,SJ873959,1998-12-01 00:00:00,1999-12-01 00:00:00
M12 5TW,53.45202,-2.187797,387626,395045,SJ876950,1980-01-01 00:00:00,
M12 5UF,53.460238,-2.191478,387384,395960,SJ873959,1996-06-01 00:00:00,1999-12-01 00:00:00
M12 5UZ,53.458055,-2.190609,387441,395717,SJ874957,1994-12-01 00:00:00,
M12 5WF,53.468673,-2.189181,387539,396898,SJ875968,1984-10-01 00:00:00,
M12 5WG,53.465264,-2.190928,387422,396519,SJ874965,1984-10-01 00:00:00,
M12 5WQ,53.463027,-2.190255,387466,396270,SJ874962,1985-04-01 00:00:00,
M12 5WR,53.466313,-2.192379,387326,396636,SJ873966,1994-05-01 00:00:00,
M12 5WS,53.465704,-2.190719,387436,396568,SJ874965,1994-05-01 00:00:00,
M12 5WU,53.466295,-2.192439,387322,396634,SJ873966,2003-03-01 00:00:00,2005-04-01 00:00:00
M12 5WX,53.466295,-2.192439,387322,396634,SJ873966,1980-01-01 00:00:00,
M12 6TB,53.454294,-2.198739,386900,395300,SJ869953,1995-01-01 00:00:00,1995-12-01 00:00:00
M13 0AE,53.454094,-2.200305,386796,395278,SJ867952,1994-05-01 00:00:00,
M13 0AP,53.454694,-2.206452,386388,395346,SJ863953,1998-06-01 00:00:00,1999-06-01 00:00:00
M13 0AT,53.454694,-2.206452,386388,395346,SJ863953,2000-06-01 00:00:00,2001-05-01 00:00:00
M13 0EQ,53.454694,-2.206452,386388,395346,SJ863953,2000-06-01 00:00:00,2001-07-01 00:00:00
M13 0GB,53.452765,-2.199064,386878,395130,SJ868951,1992-08-01 00:00:00,
M13 0GD,53.453062,-2.19896,386885,395163,SJ868951,1994-05-01 00:00:00,
M13 0GE,53.453404,-2.198976,386884,395201,SJ868952,1980-01-01 00:00:00,
M13 0GF,53.453441,-2.198043,386946,395205,SJ869952,1980-01-01 00:00:00,
M13 0GH,53.452488,-2.198174,386937,395099,SJ869950,1980-01-01 00:00:00,
M13 0GJ,53.454694,-2.206452,386388,395346,SJ863953,1999-06-01 00:00:00,2000-06-01 00:00:00
M13 0GL,53.452499,-2.197195,387002,395100,SJ870951,1980-01-01 00:00:00,
M13 0GN,53.45115,-2.197415,386987,394950,SJ869949,1980-01-01 00:00:00,
M13 0GP,53.45141,-2.197988,386949,394979,SJ869949,1980-01-01 00:00:00,
M13 0GQ,53.450963,-2.1963,387061,394929,SJ870949,1994-05-01 00:00:00,
M13 0GR,53.451276,-2.202926,386621,394965,SJ866949,1994-05-01 00:00:00,
M13 0GS,53.450874,-2.206313,386396,394921,SJ863949,1994-05-01 00:00:00,
M13 0GT,53.453073,-2.203161,386606,395165,SJ866951,1980-01-01 00:00:00,
