Postcode,Latitude,Longitude,Easting,Northing,GridRef,Introduced,Terminated
PO1 1AA,50.799294,-1.08837,464342,100366,SU643003,2004-09-01 00:00:00,
PO1 1AB,50.799294,-1.08837,464342,100366,SU643003,1988-03-01 00:00:00,
PO1 1AD,50.799294,-1.088356,464343,100366,SU643003,1995-12-01 00:00:00,1999-12-01 00:00:00
PO1 1AE,50.799294,-1.08837,464342,100366,SU643003,1996-06-01 00:00:00,
PO1 1AF,50.799294,-1.08837,464342,100366,SU643003,2004-08-01 00:00:00,
PO1 1AG,50.799294,-1.088356,464343,100366,SU643003,1998-06-01 00:00:00,2002-12-01 00:00:00
PO1 1AH,50.798705,-1.088977,464300,100300,SU643003,1997-06-01 00:00:00,2003-04-01 00:00:00
PO1 1AN,50.800053,-1.079614,464958,100458,SU649004,2005-05-01 00:00:00,
PO1 1AQ,50.79915,-1.0907,464178,100348,SU641003,2008-09-01 00:00:00,
PO1 1AR,50.799294,-1.088356,464343,100366,SU643003,2002-07-01 00:00:00,2002-09-01 00:00:00
PO1 1AS,50.799294,-1.088356,464343,100366,SU643003,1994-05-01 00:00:00,2003-02-01 00:00:00
PO1 1AT,50.799462,-1.091446,464125,100382,SU641003,2003-10-01 00:00:00,
PO1 1AU,50.800023,-1.079246,464984,100455,SU649004,2004-02-01 00:00:00,
PO1 1AW,50.801305,-1.077645,465095,100599,SU650005,2007-07-01 00:00:00,
PO1 1AX,50.798716,-1.090396,464200,100300,SU642003,1990-02-01 00:00:00,1992-12-01 00:00:00
PO1 1AY,50.798727,-1.091815,464100,100300,SU641003,1980-01-01 00:00:00,1981-12-01 00:00:00
PO1 1AZ,50.799183,-1.09033,464204,100352,SU642003,1987-10-01 00:00:00,2006-07-01 00:00:00
PO1 1BA,50.798411,-1.09158,464117,100265,SU641002,1980-01-01 00:00:00,
PO1 1BB,50.799229,-1.089222,464282,100358,SU642003,1991-01-01 00:00:00,2004-08-01 00:00:00
PO1 1BD,50.797817,-1.090413,464200,100200,SU642002,1994-05-01 00:00:00,1995-07-01 00:00:00
PO1 1BE,50.798509,-1.088073,464364,100279,SU643002,1986-04-01 00:00:00,
PO1 1BF,50.799026,-1.089751,464245,100335,SU642003,2008-12-01 00:00:00,2009-03-01 00:00:00
PO1 1BG,50.799534,-1.09143,464126,100390,SU641003,1980-01-01 00:00:00,
PO1 1BH,50.799763,-1.085154,464568,100421,SU645004,2014-06-01 00:00:00,
PO1 1BJ,50.800065,-1.078876,465010,100460,SU650004,2004-03-01 00:00:00,
PO1 1BL,50.798727,-1.091815,464100,100300,SU641003,1980-01-01 00:00:00,1995-01-01 00:00:00
PO1 1BN,50.799596,-1.091358,464131,100397,SU641003,1980-01-01 00:00:00,1999-12-01 00:00:00
PO1 1BP,50.800216,-1.091275,464136,100466,SU641004,1998-12-01 00:00:00,2006-02-01 00:00:00
PO1 1BQ,50.799462,-1.091446,464125,100382,SU641003,1980-01-01 00:00:00,
PO1 1BS,50.800239,-1.082675,464742,100476,SU647004,1997-12-01 00:00:00,
PO1 1BT,50.800132,-1.090922,464161,100457,SU641004,1980-01-01 00:00:00,
PO1 1BU,50.800955,-1.09031,464203,100549,SU642005,1980-01-01 00:00:00,
PO1 1BW,50.799626,-1.091797,464100,100400,SU641004,1991-01-01 00:00:00,1991-12-01 00:00:00
PO1 1BX,50.799626,-1.091797,464100,100400,SU641004,1993-08-01 00:00:00,1995-01-01 00:00:00
PO1 1BY,50.800329,-1.090776,464171,100479,SU641004,1980-01-01 00:00:00,
PO1 1BZ,50.799626,-1.091797,464100,100400,SU641004,1980-01-01 00:00:00,1984-12-01 00:00:00
PO1 1DA,50.79976,-1.091653,464110,100415,SU641004,1990-07-01 00:00:00,
PO1 1DB,50.800968,-1.090877,464163,100550,SU641005,1980-01-01 00:00:00,2009-02-01 00:00:00
PO1 1DD,50.80107,-1.090095,464218,100562,SU642005,1980-01-01 00:00:00,
PO1 1DE,50.800316,-1.091458,464123,100477,SU641004,1980-01-01 00:00:00,
