Postcode,Latitude,Longitude,Easting,Northing,GridRef,Introduced,Terminated
NE1 1AA,54.967724,-1.615787,424696,563745,NZ246637,1990-02-01 00:00:00,2002-11-01 00:00:00
NE1 1AB,54.96732,-1.615728,424700,563700,NZ247637,1980-01-01 00:00:00,1996-12-01 00:00:00
NE1 1AD,54.967724,-1.615787,424696,563745,NZ246637,1992-08-01 00:00:00,
NE1 1AH,54.964861,-1.619891,424435,563425,NZ244634,2006-02-01 00:00:00,2009-11-01 00:00:00
NE1 1AN,54.97049,-1.61223,424922,564054,NZ249640,1987-10-01 00:00:00,2003-02-01 00:00:00
NE1 1AP,54.969107,-1.612587,424900,563900,NZ249639,1987-10-01 00:00:00,1995-12-01 00:00:00
NE1 1BA,54.972686,-1.607866,425200,564300,NZ252643,1998-12-01 00:00:00,2004-04-01 00:00:00
NE1 1BB,54.973108,-1.607659,425213,564347,NZ252643,1980-01-01 00:00:00,
NE1 1DA,54.970914,-1.615694,424700,564100,NZ247641,1980-01-01 00:00:00,1984-12-01 00:00:00
NE1 1DB,54.97,-1.611017,425000,564000,NZ250640,1980-01-01 00:00:00,1981-12-01 00:00:00
NE1 1DD,54.970432,-1.610966,425003,564048,NZ250640,1980-01-01 00:00:00,2004-05-01 00:00:00
NE1 1DE,54.970788,-1.609884,425072,564088,NZ250640,1980-01-01 00:00:00,
NE1 1DF,54.970459,-1.611043,424998,564051,NZ249640,1980-01-01 00:00:00,
NE1 1DG,54.970993,-1.609632,425088,564111,NZ250641,1999-12-01 00:00:00,
NE1 1DH,54.970899,-1.611008,425000,564100,NZ250641,1985-04-01 00:00:00,1990-12-01 00:00:00
NE1 1DL,54.970405,-1.611169,424990,564045,NZ249640,1980-01-01 00:00:00,2004-03-01 00:00:00
NE1 1DN,54.970005,-1.612579,424900,564000,NZ249640,1980-01-01 00:00:00,1995-12-01 00:00:00
NE1 1DQ,54.970993,-1.609632,425088,564111,NZ250641,1981-06-01 00:00:00,2000-06-01 00:00:00
NE1 1DU,54.971803,-1.612561,424900,564200,NZ249642,1980-01-01 00:00:00,1991-12-01 00:00:00
NE1 1DW,54.970904,-1.61257,424900,564100,NZ249641,1984-02-01 00:00:00,1990-12-01 00:00:00
NE1 1DX,54.970005,-1.612579,424900,564000,NZ249640,1980-01-01 00:00:00,1988-12-01 00:00:00
NE1 1ED,54.97035,-1.613606,424834,564038,NZ248640,1981-06-01 00:00:00,
NE1 1EE,54.971039,-1.612475,424906,564115,NZ249641,1980-01-01 00:00:00,
NE1 1EF,54.970909,-1.614132,424800,564100,NZ248641,1980-01-01 00:00:00,1995-12-01 00:00:00
NE1 1EG,54.970951,-1.613132,424864,564105,NZ248641,1986-04-01 00:00:00,
NE1 1EH,54.970951,-1.613132,424864,564105,NZ248641,2004-11-01 00:00:00,
NE1 1EL,54.970909,-1.614132,424800,564100,NZ248641,1980-01-01 00:00:00,1981-12-01 00:00:00
NE1 1EN,54.971579,-1.612766,424887,564175,NZ248641,1980-01-01 00:00:00,
NE1 1EP,54.970909,-1.614132,424800,564100,NZ248641,1980-01-01 00:00:00,1988-12-01 00:00:00
NE1 1EQ,54.970883,-1.611758,424952,564098,NZ249640,1980-01-01 00:00:00,2003-11-01 00:00:00
NE1 1ER,54.970904,-1.61257,424900,564100,NZ249641,1980-01-01 00:00:00,1985-12-01 00:00:00
NE1 1ES,54.970909,-1.614132,424800,564100,NZ248641,1980-01-01 00:00:00,1995-01-01 00:00:00
NE1 1ET,54.970909,-1.614132,424800,564100,NZ248641,1980-01-01 00:00:00,1995-01-01 00:00:00
NE1 1EU,54.970904,-1.61257,424900,564100,NZ249641,1983-03-01 00:00:00,1995-01-01 00:00:00
NE1 1EW,54.97183,-1.612811,424884,564203,NZ248642,1980-01-01 00:00:00,
NE1 1EX,54.970005,-1.612579,424900,564000,NZ249640,1980-01-01 00:00:00,1985-12-01 00:00:00
NE1 1EY,54.970909,-1.614132,424800,564100,NZ248641,1980-01-01 00:00:00,1981-12-01 00:00:00
NE1 1EZ,54.971551,-1.612548,424901,564172,NZ249641,1985-10-01 00:00:00,
NE1 1HA,54.970909,-1.614132,424800,564100,NZ248641,1980-01-01 00:00:00,1990-12-01 00:00:00
NE1 1HB,54.970909,-1.614132,424800,564100,NZ248641,1980-01-01 00:00:00,1981-12-01 00:00:00
NE1 1HE,54.9698,-1.612846,424883,563977,NZ248639,1981-06-01 00:00:00,
