Postcode,Latitude,Longitude,Easting,Northing,GridRef,Introduced,Terminated
FY1 1AN,53.820772,-3.054958,330648,436571,SD306365,2006-08-01 00:00:00,
FY1 1DB,53.819977,-3.053389,330750,436481,SD307364,1992-01-01 00:00:00,1998-12-01 00:00:00
FY1 1EY,53.819977,-3.053389,330750,436481,SD307364,1995-01-01 00:00:00,2000-06-01 00:00:00
FY1 1GE,53.819967,-3.053404,330749,436480,SD307364,1996-12-01 00:00:00,1999-06-01 00:00:00
FY1 1GF,53.819967,-3.053404,330749,436480,SD307364,1996-12-01 00:00:00,1997-12-01 00:00:00
FY1 1GN,53.819977,-3.053389,330750,436481,SD307364,1997-12-01 00:00:00,1998-06-01 00:00:00
FY1 1GP,53.819977,-3.053389,330750,436481,SD307364,1999-06-01 00:00:00,2000-06-01 00:00:00
FY1 1GR,53.819977,-3.053389,330750,436481,SD307364,1999-12-01 00:00:00,2000-09-01 00:00:00
FY1 1GS,53.819977,-3.053389,330750,436481,SD307364,1999-12-01 00:00:00,2000-09-01 00:00:00
FY1 1HQ,53.820316,-3.052623,330801,436518,SD308365,1980-01-01 00:00:00,
FY1 1LA,53.819242,-3.05413,330700,436400,SD307364,1990-02-01 00:00:00,1992-12-01 00:00:00
FY1 1LB,53.819623,-3.053729,330727,436442,SD307364,1980-01-01 00:00:00,
FY1 1LE,53.819173,-3.054827,330654,436393,SD306363,1980-01-01 00:00:00,
FY1 1LG,53.819242,-3.05413,330700,436400,SD307364,1980-01-01 00:00:00,1981-12-01 00:00:00
FY1 1LL,53.82007,-3.051994,330842,436490,SD308364,1980-01-01 00:00:00,
FY1 1LP,53.82007,-3.051994,330842,436490,SD308364,1991-01-01 00:00:00,2009-03-01 00:00:00
FY1 1LS,53.820154,-3.052634,330800,436500,SD308365,1980-01-01 00:00:00,1984-12-01 00:00:00
FY1 1LT,53.820154,-3.052634,330800,436500,SD308365,1980-01-01 00:00:00,1991-12-01 00:00:00
FY1 1LZ,53.819967,-3.053404,330749,436480,SD307364,1980-01-01 00:00:00,1997-12-01 00:00:00
FY1 1NG,53.819204,-3.055375,330618,436397,SD306363,1997-06-01 00:00:00,
FY1 1NH,53.81997,-3.053146,330766,436480,SD307364,1980-01-01 00:00:00,
FY1 1NJ,53.819242,-3.05413,330700,436400,SD307364,1980-01-01 00:00:00,1995-01-01 00:00:00
FY1 1NL,53.819856,-3.05375,330726,436468,SD307364,1991-01-01 00:00:00,
FY1 1NN,53.819242,-3.05413,330700,436400,SD307364,1992-08-01 00:00:00,1994-05-01 00:00:00
FY1 1NP,53.819242,-3.05413,330700,436400,SD307364,1985-04-01 00:00:00,1991-12-01 00:00:00
FY1 1NS,53.820141,-3.054152,330700,436500,SD307365,1980-01-01 00:00:00,1995-01-01 00:00:00
FY1 1NT,53.820141,-3.054152,330700,436500,SD307365,1980-01-01 00:00:00,1981-12-01 00:00:00
FY1 1NU,53.820141,-3.054152,330700,436500,SD307365,1980-01-01 00:00:00,1992-12-01 00:00:00
FY1 1NX,53.819561,-3.054654,330666,436436,SD306364,1980-01-01 00:00:00,2009-06-01 00:00:00
FY1 1PD,53.820204,-3.054078,330705,436507,SD307365,1980-01-01 00:00:00,
FY1 1PE,53.820075,-3.054455,330680,436493,SD306364,1980-01-01 00:00:00,2013-12-01 00:00:00
FY1 1PF,53.820141,-3.054152,330700,436500,SD307365,1980-01-01 00:00:00,1994-05-01 00:00:00
FY1 1PN,53.820154,-3.052634,330800,436500,SD308365,1991-09-01 00:00:00,1991-12-01 00:00:00
FY1 1PP,53.82053,-3.053798,330724,436543,SD307365,1980-01-01 00:00:00,
FY1 1PQ,53.820141,-3.054152,330700,436500,SD307365,1980-01-01 00:00:00,1982-12-01 00:00:00
FY1 1PR,53.820141,-3.054152,330700,436500,SD307365,1980-01-01 00:00:00,1991-12-01 00:00:00
FY1 1PT,53.820141,-3.054152,330700,436500,SD307365,1991-09-01 00:00:00,1994-05-01 00:00:00
FY1 1PU,53.82042,-3.052033,330840,436529,SD308365,1980-01-01 00:00:00,
FY1 1PX,53.820581,-3.053085,330771,436548,SD307365,1980-01-01 00:00:00,
FY1 1PZ,53.821042,-3.052869,330786,436599,SD307365,1980-01-01 00:00:00,
FY1 1QA,53.821053,-3.052656,330800,436600,SD308366,1990-02-01 00:00:00,1990-12-01 00:00:00
FY1 1QB,53.821053,-3.052656,330800,436600,SD308366,1980-01-01 00:00:00,1992-12-01 00:00:00
FY1 1QD,53.821014,-3.052959,330780,436596,SD307365,1980-01-01 00:00:00,1999-12-01 00:00:00
FY1 1QE,53.821042,-3.052869,330786,436599,SD307365,1980-01-01 00:00:00,1998-06-01 00:00:00
FY1 1QG,53.821069,-3.052793,330791,436602,SD307366,1980-01-01 00:00:00,1998-12-01 00:00:00
FY1 1QH,53.821053,-3.052656,330800,436600,SD308366,1980-01-01 00:00:00,1982-12-01 00:00:00
FY1 1QJ,53.821053,-3.052656,330800,436600,SD308366,1980-01-01 00:00:00,1981-12-01 00:00:00
FY1 1QL,53.821366,-3.052831,330789,436635,SD307366,1980-01-01 00:00:00,
FY1 1QP,53.821039,-3.054175,330700,436600,SD307366,1980-01-01 00:00:00,1991-12-01 00:00:00
FY1 1QQ,53.821053,-3.052656,330800,436600,SD308366,1991-01-01 00:00:00,1995-12-01 00:00:00
FY1 1QR,53.821039,-3.054175,330700,436600,SD307366,1980-01-01 00:00:00,1983-12-01 00:00:00
FY1 1QS,53.821039,-3.054175,330700,436600,SD307366,1980-01-01 00:00:00,1990-12-01 00:00:00
FY1 1QT,53.820439,-3.05492,330650,436534,SD306365,1980-01-01 00:00:00,
FY1 1QU,53.819693,-3.054992,330644,436451,SD306364,1980-01-01 00:00:00,
FY1 1QW,53.820705,-3.05441,330684,436563,SD306365,1980-01-01 00:00:00,
FY1 1RA,53.819449,-3.055138,330634,436424,SD306364,1980-01-01 00:00:00,
FY1 1RE,53.820439,-3.05492,330650,436534,SD306365,1980-01-01 00:00:00,
FY1 1RF,53.820534,-3.055454,330615,436545,SD306365,1980-01-01 00:00:00,1998-12-01 00:00:00
FY1 1RH,53.820127,-3.055671,330600,436500,SD306365,1980-01-01 00:00:00,1995-01-01 00:00:00
FY1 1RJ,53.821169,-3.054801,330659,436615,SD306366,1980-01-01 00:00:00,
FY1 1RL,53.821624,-3.054144,330703,436665,SD307366,1980-01-01 00:00:00,
FY1 1RN,53.822237,-3.053871,330722,436733,SD307367,1980-01-01 00:00:00,
FY1 1RQ,53.820838,-3.055628,330604,436579,SD306365,1980-01-01 00:00:00,
FY1 1RS,53.821938,-3.054198,330700,436700,SD307367,1980-01-01 00:00:00,1981-12-01 00:00:00
FY1 1RT,53.822058,-3.054854,330657,436714,SD306367,1980-01-01 00:00:00,
FY1 1RU,53.822497,-3.055047,330645,436763,SD306367,1980-01-01 00:00:00,
FY1 1RW,53.821567,-3.053474,330747,436658,SD307366,1980-01-01 00:00:00,
FY1 1RX,53.822614,-3.055005,330648,436776,SD306367,1980-01-01 00:00:00,
FY1 1RZ,53.823636,-3.055243,330634,436890,SD306368,1980-01-01 00:00:00,
FY1 1SA,53.824556,-3.054917,330657,436992,SD306369,1980-01-01 00:00:00,
FY1 1SB,53.823676,-3.054834,330661,436894,SD306368,1980-01-01 00:00:00,
FY1 1SD,53.823562,-3.054557,330679,436881,SD306368,1980-01-01 00:00:00,
FY1 1SE,53.823533,-3.054769,330665,436878,SD306368,1980-01-01 00:00:00,
FY1 1SF,53.822948,-3.053828,330726,436812,SD307368,1980-01-01 00:00:00,
FY1 1SG,53.822348,-3.054542,330678,436746,SD306367,1980-01-01 00:00:00,
FY1 1SL,53.819242,-3.05413,330700,436400,SD307364,1980-01-01 00:00:00,1990-12-01 00:00:00
FY1 1SQ,53.822669,-3.053821,330726,436781,SD307367,1980-01-01 00:00:00,
FY1 1SX,53.821053,-3.052656,330800,436600,SD308366,1980-01-01 00:00:00,1995-01-01 00:00:00
FY1 1TA,53.820154,-3.052634,330800,436500,SD308365,1980-01-01 00:00:00,1981-12-01 00:00:00
FY1 1TF,53.819966,-3.052508,330808,436479,SD308364,1980-01-01 00:00:00,1999-06-01 00:00:00
FY1 1TH,53.820602,-3.05386,330720,436551,SD307365,1981-06-01 00:00:00,2010-03-01 00:00:00
FY1 1TL,53.819242,-3.05413,330700,436400,SD307364,1983-03-01 00:00:00,1990-12-01 00:00:00
FY1 1TN,53.819242,-3.05413,330700,436400,SD307364,1980-01-01 00:00:00,1990-12-01 00:00:00
FY1 1TR,53.820154,-3.052634,330800,436500,SD308365,1981-06-01 00:00:00,1985-12-01 00:00:00
FY1 2AA,53.820622,-3.051537,330873,436551,SD308365,1980-01-01 00:00:00,
FY1 2AB,53.82215,-3.049478,331011,436719,SD310367,1980-01-01 00:00:00,
FY1 2AD,53.820154,-3.052634,330800,436500,SD308365,1980-01-01 00:00:00,1994-05-01 00:00:00
FY1 2AE,53.821049,-3.052049,330840,436599,SD308365,1980-01-01 00:00:00,
FY1 2AF,53.821053,-3.052656,330800,436600,SD308366,1980-01-01 00:00:00,1995-12-01 00:00:00
FY1 2AG,53.830529,-3.053319,330772,437655,SD307376,1998-06-01 00:00:00,
FY1 2AH,53.820154,-3.052634,330800,436500,SD308365,1991-01-01 00:00:00,1996-06-01 00:00:00
FY1 2AJ,53.821843,-3.052722,330797,436688,SD307366,1980-01-01 00:00:00,
FY1 2AL,53.821951,-3.052679,330800,436700,SD308367,1995-07-01 00:00:00,1996-12-01 00:00:00
FY1 2AP,53.822839,-3.052914,330786,436799,SD307367,1980-01-01 00:00:00,
FY1 2AQ,53.83217,-3.04555,331286,437830,SD312378,1987-10-01 00:00:00,
FY1 2AR,53.8227,-3.052409,330819,436783,SD308367,1980-01-01 00:00:00,
FY1 2AS,53.822653,-3.05256,330809,436778,SD308367,1980-01-01 00:00:00,
FY1 2AT,53.82208,-3.052317,330824,436714,SD308367,1980-01-01 00:00:00,
FY1 2AU,53.821781,-3.051626,330869,436680,SD308366,1980-01-01 00:00:00,
FY1 2AW,53.822789,-3.05352,330746,436794,SD307367,1980-01-01 00:00:00,
FY1 2AX,53.821117,-3.051503,330876,436606,SD308366,1980-01-01 00:00:00,
FY1 2AY,53.821212,-3.050913,330915,436616,SD309366,1980-01-01 00:00:00,
FY1 2AZ,53.821538,-3.050633,330934,436652,SD309366,1980-01-01 00:00:00,
FY1 2BA,53.822086,-3.050662,330933,436713,SD309367,1980-01-01 00:00:00,
FY1 2BB,53.821978,-3.049641,331000,436700,SD310367,1980-01-01 00:00:00,2000-10-01 00:00:00
FY1 2BD,53.82227,-3.051228,330896,436734,SD308367,1980-01-01 00:00:00,
FY1 2BE,53.822737,-3.05121,330898,436786,SD308367,1980-01-01 00:00:00,
FY1 2BF,53.822612,-3.0511,330905,436772,SD309367,2014-09-01 00:00:00,2015-02-01 00:00:00
FY1 2BG,53.822487,-3.050991,330912,436758,SD309367,1980-01-01 00:00:00,
FY1 2BH,53.82285,-3.052701,330800,436800,SD308368,1980-01-01 00:00:00,1981-12-01 00:00:00
FY1 2BJ,53.823059,-3.052479,330815,436823,SD308368,1980-01-01 00:00:00,
FY1 2BL,53.821651,-3.050058,330972,436664,SD309366,1980-01-01 00:00:00,
FY1 2BN,53.822592,-3.05034,330955,436769,SD309367,1980-01-01 00:00:00,
FY1 2BP,53.823413,-3.051029,330911,436861,SD309368,1980-01-01 00:00:00,
FY1 2BQ,53.82321,-3.051601,330873,436839,SD308368,1980-01-01 00:00:00,
FY1 2BR,53.823762,-3.051205,330900,436900,SD309369,2000-07-01 00:00:00,2000-07-01 00:00:00
FY1 2BT,53.821053,-3.052656,330800,436600,SD308366,1980-01-01 00:00:00,1995-07-01 00:00:00
FY1 2BU,53.823512,-3.05404,330713,436875,SD307368,1980-01-01 00:00:00,
FY1 2BW,53.822925,-3.050273,330960,436806,SD309368,1980-01-01 00:00:00,
FY1 2BX,53.823802,-3.053773,330731,436907,SD307369,1980-01-01 00:00:00,
FY1 2BY,53.823458,-3.053066,330777,436868,SD307368,1980-01-01 00:00:00,
FY1 2BZ,53.823772,-3.052086,330842,436902,SD308369,1980-01-01 00:00:00,
FY1 2DA,53.823821,-3.052604,330808,436908,SD308369,1980-01-01 00:00:00,
FY1 2DB,53.824023,-3.052184,330836,436930,SD308369,1980-01-01 00:00:00,
FY1 2DD,53.823884,-3.052636,330806,436915,SD308369,1995-07-01 00:00:00,1997-06-01 00:00:00
FY1 2DE,53.823736,-3.053103,330775,436899,SD307368,1980-01-01 00:00:00,
FY1 2DG,53.82412,-3.053402,330756,436942,SD307369,1980-01-01 00:00:00,
FY1 2DH,53.824438,-3.05306,330779,436977,SD307369,1980-01-01 00:00:00,
FY1 2DJ,53.824655,-3.053856,330727,437002,SD307370,1980-01-01 00:00:00,
FY1 2DL,53.824573,-3.052,330849,436991,SD308369,1980-01-01 00:00:00,
FY1 2DN,53.825042,-3.048685,331068,437040,SD310370,2009-05-01 00:00:00,
FY1 2DP,53.823719,-3.050915,330919,436895,SD309368,1980-01-01 00:00:00,
