Postcode,Latitude,Longitude,Easting,Northing,GridRef,Introduced,Terminated
BL1 1AB,53.57812,-2.427768,371774,409143,SD717091,1990-02-01 00:00:00,1997-12-01 00:00:00
BL1 1AP,53.577573,-2.425089,371951,409081,SD719090,2007-09-01 00:00:00,
BL1 1AQ,53.578051,-2.427118,371817,409135,SD718091,2012-09-01 00:00:00,
BL1 1AS,53.578051,-2.427118,371817,409135,SD718091,2014-04-01 00:00:00,
BL1 1BA,53.577735,-2.427371,371800,409100,SD718091,1980-01-01 00:00:00,1995-12-01 00:00:00
BL1 1BU,53.579203,-2.429199,371680,409264,SD716092,1980-01-01 00:00:00,
BL1 1BX,53.577735,-2.427371,371800,409100,SD718091,1980-01-01 00:00:00,1994-05-01 00:00:00
BL1 1BZ,53.579132,-2.428896,371700,409256,SD717092,1980-01-01 00:00:00,2000-09-01 00:00:00
BL1 1DA,53.578819,-2.428485,371727,409221,SD717092,1980-01-01 00:00:00,
BL1 1DB,53.579132,-2.428896,371700,409256,SD717092,1980-01-01 00:00:00,
BL1 1DD,53.579324,-2.428097,371753,409277,SD717092,1980-01-01 00:00:00,
BL1 1DF,53.579254,-2.427583,371787,409269,SD717092,1991-01-01 00:00:00,
BL1 1DG,53.579156,-2.427189,371813,409258,SD718092,1980-01-01 00:00:00,
BL1 1DJ,53.577741,-2.425861,371900,409100,SD719091,1980-01-01 00:00:00,1981-12-01 00:00:00
BL1 1DL,53.579528,-2.4289,371700,409300,SD717093,1980-01-01 00:00:00,1995-12-01 00:00:00
BL1 1DN,53.578677,-2.428091,371753,409205,SD717092,1980-01-01 00:00:00,2000-11-01 00:00:00
BL1 1DP,53.578051,-2.427118,371817,409135,SD718091,1980-01-01 00:00:00,2011-12-01 00:00:00
BL1 1DQ,53.578634,-2.42738,371800,409200,SD718092,1980-01-01 00:00:00,1992-12-01 00:00:00
BL1 1DR,53.578243,-2.426289,371872,409156,SD718091,1980-01-01 00:00:00,
BL1 1DS,53.578566,-2.426398,371865,409192,SD718091,1980-01-01 00:00:00,
BL1 1DT,53.579498,-2.429685,371648,409297,SD716092,1980-01-01 00:00:00,
BL1 1DU,53.578162,-2.426107,371884,409147,SD718091,1994-12-01 00:00:00,
BL1 1DW,53.578168,-2.426923,371830,409148,SD718091,1980-01-01 00:00:00,
BL1 1DX,53.57864,-2.42587,371900,409200,SD719092,1982-03-01 00:00:00,1991-12-01 00:00:00
BL1 1DY,53.578577,-2.425643,371915,409193,SD719091,1980-01-01 00:00:00,
BL1 1DZ,53.578577,-2.42587,371900,409193,SD719091,1980-01-01 00:00:00,2004-08-01 00:00:00
BL1 1EA,53.57846,-2.42824,371743,409181,SD717091,1980-01-01 00:00:00,
BL1 1EB,53.578793,-2.425675,371913,409217,SD719092,1980-01-01 00:00:00,
BL1 1ED,53.578634,-2.42738,371800,409200,SD718092,1994-05-01 00:00:00,2000-06-01 00:00:00
BL1 1EE,53.578756,-2.426068,371887,409213,SD718092,1980-01-01 00:00:00,
BL1 1EF,53.578634,-2.42738,371800,409200,SD718092,1980-01-01 00:00:00,1994-05-01 00:00:00
BL1 1EG,53.578813,-2.425207,371944,409219,SD719092,1980-01-01 00:00:00,1997-12-01 00:00:00
BL1 1EH,53.579261,-2.425423,371930,409269,SD719092,1995-07-01 00:00:00,2014-06-01 00:00:00
BL1 1EJ,53.578989,-2.42607,371887,409239,SD718092,1980-01-01 00:00:00,
BL1 1EL,53.579051,-2.426509,371858,409246,SD718092,1980-01-01 00:00:00,
BL1 1EN,53.578629,-2.428891,371700,409200,SD717092,1980-01-01 00:00:00,1998-06-01 00:00:00
BL1 1EP,53.578746,-2.426385,371866,409212,SD718092,1991-09-01 00:00:00,2010-10-01 00:00:00
BL1 1EQ,53.579505,-2.427737,371777,409297,SD717092,1980-01-01 00:00:00,
BL1 1ER,53.577741,-2.425861,371900,409100,SD719091,1980-01-01 00:00:00,1995-01-01 00:00:00
BL1 1ES,53.577295,-2.424799,371970,409050,SD719090,2004-04-01 00:00:00,
BL1 1ET,53.577585,-2.424183,372011,409082,SD720090,2001-12-01 00:00:00,
BL1 1EW,53.578634,-2.42738,371800,409200,SD718092,1992-08-01 00:00:00,1999-06-01 00:00:00
BL1 1EY,53.579497,-2.42745,371796,409296,SD717092,1980-01-01 00:00:00,2001-07-01 00:00:00
BL1 1FA,53.579261,-2.425423,371930,409269,SD719092,1995-01-01 00:00:00,
BL1 1FJ,53.57812,-2.427768,371774,409143,SD717091,1997-06-01 00:00:00,1999-12-01 00:00:00
BL1 1FP,53.57812,-2.427768,371774,409143,SD717091,1997-12-01 00:00:00,1999-06-01 00:00:00
BL1 1FT,53.57812,-2.427768,371774,409143,SD717091,1999-06-01 00:00:00,2000-06-01 00:00:00
BL1 1FZ,53.579261,-2.425423,371930,409269,SD719092,2000-07-01 00:00:00,2000-09-01 00:00:00
BL1 1GY,53.57812,-2.427768,371774,409143,SD717091,1997-12-01 00:00:00,1998-12-01 00:00:00
BL1 1HG,53.579504,-2.428069,371755,409297,SD717092,1980-01-01 00:00:00,2008-01-01 00:00:00
BL1 1HH,53.579424,-2.427615,371785,409288,SD717092,1980-01-01 00:00:00,
BL1 1HJ,53.579393,-2.426421,371864,409284,SD718092,1980-01-01 00:00:00,
BL1 1HL,53.579396,-2.425591,371919,409284,SD719092,1980-01-01 00:00:00,
BL1 1HP,53.57864,-2.42587,371900,409200,SD719092,1991-01-01 00:00:00,1995-01-01 00:00:00
BL1 1HQ,53.579499,-2.429232,371678,409297,SD716092,1980-01-01 00:00:00,
BL1 1HR,53.579538,-2.425879,371900,409300,SD719093,1980-01-01 00:00:00,1983-12-01 00:00:00
BL1 1HS,53.579369,-2.425394,371932,409281,SD719092,1980-01-01 00:00:00,2015-04-01 00:00:00
BL1 1HT,53.579538,-2.425879,371900,409300,SD719093,1980-01-01 00:00:00,1992-12-01 00:00:00
BL1 1JA,53.579538,-2.425879,371900,409300,SD719093,1980-01-01 00:00:00,1994-05-01 00:00:00
BL1 1JB,53.577735,-2.427371,371800,409100,SD718091,1980-01-01 00:00:00,1995-01-01 00:00:00
BL1 1JD,53.579538,-2.425879,371900,409300,SD719093,1980-01-01 00:00:00,1995-01-01 00:00:00
BL1 1JG,53.579369,-2.425394,371932,409281,SD719092,1998-12-01 00:00:00,2014-06-01 00:00:00
BL1 1JH,53.578634,-2.42738,371800,409200,SD718092,1980-01-01 00:00:00,1990-12-01 00:00:00
BL1 1JJ,53.57812,-2.427768,371774,409143,SD717091,1993-01-01 00:00:00,2000-06-01 00:00:00
BL1 1JL,53.577815,-2.427795,371772,409109,SD717091,1997-06-01 00:00:00,
BL1 1JN,53.577537,-2.42749,371792,409078,SD717090,1980-01-01 00:00:00,
BL1 1JP,53.577735,-2.427371,371800,409100,SD718091,1980-01-01 00:00:00,1995-12-01 00:00:00
BL1 1JQ,53.57773,-2.428882,371700,409100,SD717091,1980-01-01 00:00:00,1997-12-01 00:00:00
