Postcode,Latitude,Longitude,Easting,Northing,GridRef,Introduced,Terminated
GL16 8PB,51.808831,-2.678197,353339,212461,SO533124,1980-01-01 00:00:00,
NP15 1AA,51.704432,-2.901793,337780,201017,SO377010,1999-06-01 00:00:00,
NP15 1AB,51.702739,-2.903294,337674,200830,SO376008,1999-06-01 00:00:00,
NP15 1AD,51.700385,-2.901858,337770,200567,SO377005,1999-06-01 00:00:00,
NP15 1AE,51.701558,-2.902518,337726,200698,SO377006,1999-06-01 00:00:00,
NP15 1AF,51.698378,-2.899835,337907,200342,SO379003,1999-06-01 00:00:00,
NP15 1AG,51.702275,-2.901606,337790,200777,SO377007,1999-06-01 00:00:00,
NP15 1AH,51.6982,-2.900715,337846,200323,SO378003,1999-06-01 00:00:00,
NP15 1AJ,51.701431,-2.901444,337800,200683,SO378006,1999-06-01 00:00:00,
NP15 1AL,51.700455,-2.903248,337674,200576,SO376005,1999-06-01 00:00:00,
NP15 1AN,51.69957,-2.903766,337637,200478,SO376004,1999-06-01 00:00:00,
NP15 1AP,51.698475,-2.902427,337728,200355,SO377003,1999-06-01 00:00:00,
NP15 1AQ,51.700831,-2.903531,337655,200618,SO376006,1999-06-01 00:00:00,
NP15 1AR,51.699604,-2.902942,337694,200481,SO376004,1999-06-01 00:00:00,
NP15 1AS,51.69949,-2.90485,337562,200470,SO375004,1999-06-01 00:00:00,
NP15 1AT,51.701172,-2.905911,337491,200658,SO374006,1999-06-01 00:00:00,
NP15 1AU,51.701019,-2.904822,337566,200640,SO375006,1999-06-01 00:00:00,
NP15 1AW,51.698157,-2.902812,337701,200320,SO377003,1999-06-01 00:00:00,
NP15 1AX,51.702518,-2.901611,337790,200804,SO377008,1999-06-01 00:00:00,
NP15 1AY,51.699665,-2.905446,337521,200490,SO375004,2001-06-01 00:00:00,
NP15 1AZ,51.698375,-2.90134,337803,200343,SO378003,1999-06-01 00:00:00,
NP15 1BA,51.700807,-2.905469,337521,200617,SO375006,1999-06-01 00:00:00,
NP15 1BB,51.700934,-2.900682,337852,200627,SO378006,1999-06-01 00:00:00,
NP15 1BD,51.702244,-2.900969,337834,200773,SO378007,1999-06-01 00:00:00,
NP15 1BE,51.703628,-2.898796,337986,200925,SO379009,1999-06-01 00:00:00,
NP15 1BF,51.703371,-2.90293,337700,200900,SO377009,1999-04-01 00:00:00,2000-09-01 00:00:00
NP15 1BG,51.702744,-2.904915,337562,200832,SO375008,1999-06-01 00:00:00,
NP15 1BH,51.703802,-2.901824,337777,200947,SO377009,1999-06-01 00:00:00,
NP15 1BJ,51.703081,-2.902099,337757,200867,SO377008,1999-06-01 00:00:00,
NP15 1BL,51.703795,-2.896875,338119,200942,SO381009,1999-06-01 00:00:00,
NP15 1BN,51.703525,-2.899214,337957,200914,SO379009,1999-06-01 00:00:00,
NP15 1BP,51.704433,-2.896902,338118,201013,SO381010,1999-06-01 00:00:00,
NP15 1BQ,51.702639,-2.904637,337581,200820,SO375008,1999-06-01 00:00:00,
NP15 1BR,51.702653,-2.901584,337792,200819,SO377008,2015-04-01 00:00:00,
NP15 1BS,51.704728,-2.897212,338097,201046,SO380010,1999-06-01 00:00:00,
NP15 1BT,51.704359,-2.898348,338018,201006,SO380010,1999-06-01 00:00:00,
NP15 1BU,51.704307,-2.900532,337867,201002,SO378010,1999-06-01 00:00:00,
NP15 1BW,51.703821,-2.900537,337866,200948,SO378009,1999-06-01 00:00:00,
NP15 1BX,51.702763,-2.898938,337975,200829,SO379008,1999-06-01 00:00:00,
NP15 1BY,51.703588,-2.900402,337875,200922,SO378009,1999-06-01 00:00:00,
NP15 1BZ,51.70427,-2.899417,337944,200997,SO379009,1999-06-01 00:00:00,
NP15 1DA,51.727467,-2.814511,343840,203508,SO438035,1999-06-01 00:00:00,
NP15 1DB,51.718133,-2.842643,341885,202492,SO418024,1999-06-01 00:00:00,
NP15 1DD,51.716726,-2.863128,340468,202352,SO404023,1999-06-01 00:00:00,
NP15 1DE,51.724014,-2.817171,343652,203126,SO436031,1999-06-01 00:00:00,
NP15 1DF,51.719058,-2.805631,344443,202566,SO444025,1999-06-01 00:00:00,
NP15 1DG,51.721555,-2.861831,340564,202888,SO405028,1999-06-01 00:00:00,
NP15 1DH,51.725475,-2.833079,342555,203301,SO425033,1999-06-01 00:00:00,
NP15 1DJ,51.735572,-2.81651,343712,204411,SO437044,1999-06-01 00:00:00,
NP15 1DL,51.730809,-2.84912,341454,203907,SO414039,1999-06-01 00:00:00,
NP15 1DN,51.739428,-2.835914,342377,204855,SO423048,1999-06-01 00:00:00,
NP15 1DP,51.739813,-2.8512,341322,204910,SO413049,1999-06-01 00:00:00,
NP15 1DQ,51.699242,-2.905525,337515,200443,SO375004,1999-06-01 00:00:00,
NP15 1DR,51.734573,-2.870521,339981,204343,SO399043,1999-06-01 00:00:00,
NP15 1DS,51.743625,-2.828503,342894,205316,SO428053,1999-06-01 00:00:00,
NP15 1DT,51.717491,-2.786177,345785,202377,SO457023,1999-06-01 00:00:00,
NP15 1DU,51.712906,-2.776501,346448,201860,SO464018,1999-06-01 00:00:00,
NP15 1DW,51.742404,-2.833376,342556,205184,SO425051,1999-06-01 00:00:00,
NP15 1DX,51.717299,-2.809059,344204,202373,SO442023,1999-06-01 00:00:00,
NP15 1DY,51.719363,-2.861456,340587,202644,SO405026,1999-06-01 00:00:00,
NP15 1DZ,51.73085,-2.850988,341325,203913,SO413039,1999-06-01 00:00:00,
NP15 1EA,51.702424,-2.905632,337512,200797,SO375007,2006-11-01 00:00:00,2012-02-01 00:00:00
NP15 1EB,51.737797,-2.86857,340120,204700,SO401047,1999-06-01 00:00:00,
NP15 1ED,51.702681,-2.90377,337641,200824,SO376008,1999-06-01 00:00:00,
NP15 1EE,51.742271,-2.833128,342573,205169,SO425051,1999-06-01 00:00:00,
NP15 1EF,51.718658,-2.807607,344306,202523,SO443025,1999-06-01 00:00:00,
NP15 1EG,51.702613,-2.903349,337670,200816,SO376008,1999-06-01 00:00:00,
NP15 1EH,51.699011,-2.809008,344185,200339,SO441003,1999-06-01 00:00:00,
NP15 1EJ,51.715025,-2.829688,342776,202136,SO427021,1999-06-01 00:00:00,
NP15 1EL,51.666595,-2.908937,337234,196815,ST372968,1999-06-01 00:00:00,
NP15 1EN,51.699688,-2.87998,339281,200471,SO392004,1999-06-01 00:00:00,
NP15 1EP,51.708903,-2.828201,342871,201454,SO428014,1999-06-01 00:00:00,
NP15 1EQ,51.750215,-2.926187,336159,206130,SO361061,1999-06-01 00:00:00,
NP15 1ER,51.711952,-2.854455,341061,201814,SO410018,1999-06-01 00:00:00,
NP15 1ES,51.711718,-2.854479,341059,201788,SO410017,1999-06-01 00:00:00,
NP15 1ET,51.702158,-2.837209,342240,200711,SO422007,1999-06-01 00:00:00,
NP15 1EU,51.7024,-2.83238,342574,200734,SO425007,1999-06-01 00:00:00,
NP15 1EW,51.703532,-2.892456,338424,200909,SO384009,1999-06-01 00:00:00,
NP15 1EX,51.707432,-2.810967,344060,201277,SO440012,1999-06-01 00:00:00,
NP15 1EY,51.704845,-2.868474,340083,201035,SO400010,1999-06-01 00:00:00,
NP15 1EZ,51.700051,-2.855214,340993,200491,SO409004,1999-06-01 00:00:00,
NP15 1FB,51.703125,-2.900972,337835,200871,SO378008,1999-06-01 00:00:00,
NP15 1GA,51.712095,-2.91778,336686,201883,SO366018,2012-03-01 00:00:00,
NP15 1GZ,51.704356,-2.897552,338073,201005,SO380010,2004-10-01 00:00:00,
