Postcode,Latitude,Longitude,Easting,Northing,GridRef,Introduced,Terminated
BH1 1AF,50.72329,-1.871286,409182,91526,SZ091915,2008-01-01 00:00:00,
BH1 1AH,50.72274,-1.870112,409265,91465,SZ092914,2008-03-01 00:00:00,
BH1 1AJ,50.729845,-1.871509,409165,92255,SZ091922,2008-09-01 00:00:00,
BH1 1AL,50.721849,-1.869817,409286,91366,SZ092913,2010-07-01 00:00:00,
BH1 1AN,50.722503,-1.867662,409438,91439,SZ094914,2010-08-01 00:00:00,
BH1 1AQ,50.723906,-1.86763,409440,91595,SZ094915,2012-02-01 00:00:00,
BH1 1AR,50.72359,-1.874232,408974,91559,SZ089915,2015-01-01 00:00:00,
BH1 1AT,50.721849,-1.869817,409286,91366,SZ092913,2015-02-01 00:00:00,
BH1 1BA,50.720375,-1.878434,408678,91201,SZ086912,1980-01-01 00:00:00,
BH1 1BB,50.720464,-1.878108,408701,91211,SZ087912,1980-01-01 00:00:00,
BH1 1BD,50.721266,-1.879536,408600,91300,SZ086913,1980-01-01 00:00:00,1996-06-01 00:00:00
BH1 1BG,50.721266,-1.879536,408600,91300,SZ086913,1980-01-01 00:00:00,1996-12-01 00:00:00
BH1 1BH,50.721266,-1.879536,408600,91300,SZ086913,1980-01-01 00:00:00,1990-12-01 00:00:00
BH1 1BJ,50.721266,-1.879536,408600,91300,SZ086913,1981-09-01 00:00:00,1990-12-01 00:00:00
BH1 1BL,50.720663,-1.878929,408643,91233,SZ086912,2004-04-01 00:00:00,
BH1 1BN,50.720663,-1.878929,408643,91233,SZ086912,1980-01-01 00:00:00,
BH1 1BP,50.721266,-1.879536,408600,91300,SZ086913,1980-01-01 00:00:00,1981-12-01 00:00:00
BH1 1BQ,50.72112,-1.877724,408728,91284,SZ087912,1980-01-01 00:00:00,1999-12-01 00:00:00
BH1 1BS,50.721265,-1.87812,408700,91300,SZ087913,1980-01-01 00:00:00,1998-12-01 00:00:00
BH1 1BT,50.720537,-1.878745,408656,91219,SZ086912,1980-01-01 00:00:00,2001-04-01 00:00:00
BH1 1BU,50.720724,-1.877583,408738,91240,SZ087912,1980-01-01 00:00:00,2007-04-01 00:00:00
BH1 1BX,50.720537,-1.878745,408656,91219,SZ086912,1997-06-01 00:00:00,1998-12-01 00:00:00
BH1 1BY,50.721003,-1.877398,408751,91271,SZ087912,1980-01-01 00:00:00,
BH1 1BZ,50.721111,-1.877653,408733,91283,SZ087912,1980-01-01 00:00:00,
BH1 1DA,50.721363,-1.877652,408733,91311,SZ087913,1980-01-01 00:00:00,
BH1 1DB,50.721265,-1.87812,408700,91300,SZ087913,1980-01-01 00:00:00,1994-05-01 00:00:00
BH1 1DD,50.721499,-1.878261,408690,91326,SZ086913,1995-12-01 00:00:00,2012-02-01 00:00:00
BH1 1DE,50.721265,-1.87812,408700,91300,SZ087913,1980-01-01 00:00:00,1982-12-01 00:00:00
BH1 1DF,50.721569,-1.877227,408763,91334,SZ087913,1980-01-01 00:00:00,
BH1 1DG,50.721265,-1.87812,408700,91300,SZ087913,1980-01-01 00:00:00,1990-12-01 00:00:00
BH1 1DH,50.722164,-1.878118,408700,91400,SZ087914,1992-01-01 00:00:00,1995-01-01 00:00:00
