Postcode,Latitude,Longitude,Easting,Northing,GridRef,Introduced,Terminated
SO1 0AA,50.899074,-1.404074,442004,111235,SU420112,1980-01-01 00:00:00,1994-12-01 00:00:00
SO1 0AB,50.899409,-1.404596,441967,111272,SU419112,1980-01-01 00:00:00,1994-12-01 00:00:00
SO1 0AD,50.899818,-1.405416,441909,111317,SU419113,1980-01-01 00:00:00,1994-12-01 00:00:00
SO1 0AE,50.899974,-1.406054,441864,111334,SU418113,1983-01-01 00:00:00,1994-12-01 00:00:00
SO1 0AF,50.900622,-1.406202,441853,111406,SU418114,1983-01-01 00:00:00,1994-12-01 00:00:00
SO1 0AG,50.899102,-1.406093,441862,111237,SU418112,1980-01-01 00:00:00,1994-12-01 00:00:00
SO1 0AH,50.898921,-1.405783,441884,111217,SU418112,1980-01-01 00:00:00,1994-12-01 00:00:00
SO1 0AJ,50.8984,-1.405889,441877,111159,SU418111,1980-01-01 00:00:00,1994-12-01 00:00:00
SO1 0AL,50.898276,-1.406274,441850,111145,SU418111,1980-01-01 00:00:00,1994-12-01 00:00:00
SO1 0AN,50.897674,-1.406481,441836,111078,SU418110,1980-01-01 00:00:00,1994-12-01 00:00:00
SO1 0AP,50.897917,-1.406407,441841,111105,SU418111,1984-10-01 00:00:00,1994-12-01 00:00:00
SO1 0AQ,50.895428,-1.405045,441939,110829,SU419108,1980-01-01 00:00:00,1994-12-01 00:00:00
SO1 0AR,50.896912,-1.405097,441934,110994,SU419109,1980-01-01 00:00:00,1994-12-01 00:00:00
SO1 0AS,50.898386,-1.406699,441820,111157,SU418111,1983-01-01 00:00:00,1994-12-01 00:00:00
SO1 0AT,50.898272,-1.405464,441907,111145,SU419111,1980-01-01 00:00:00,1994-12-01 00:00:00
SO1 0AU,50.898546,-1.404678,441962,111176,SU419111,1980-01-01 00:00:00,1994-12-01 00:00:00
SO1 0AW,50.899124,-1.405183,441926,111240,SU419112,1980-01-01 00:00:00,1994-12-01 00:00:00
SO1 0AX,50.898712,-1.405458,441907,111194,SU419111,1980-01-01 00:00:00,1994-12-01 00:00:00
SO1 0AY,50.898726,-1.406482,441835,111195,SU418111,1980-01-01 00:00:00,1994-12-01 00:00:00
SO1 0AZ,50.899043,-1.406947,441802,111230,SU418112,1980-01-01 00:00:00,1994-12-01 00:00:00
SO1 0BA,50.901121,-1.406921,441802,111461,SU418114,1980-01-01 00:00:00,1994-12-01 00:00:00
SO1 0BB,50.900428,-1.405195,441924,111385,SU419113,1983-01-01 00:00:00,1994-12-01 00:00:00
SO1 0BE,50.900025,-1.405527,441901,111340,SU419113,1980-01-01 00:00:00,1994-12-01 00:00:00
SO1 0BG,50.899666,-1.405546,441900,111300,SU419113,1990-02-01 00:00:00,1994-05-01 00:00:00
SO1 0BH,50.900999,-1.405913,441873,111448,SU418114,1983-07-01 00:00:00,1994-12-01 00:00:00
SO1 0BJ,50.900143,-1.405682,441890,111353,SU418113,1980-01-01 00:00:00,1994-12-01 00:00:00
SO1 0BL,50.900999,-1.406069,441862,111448,SU418114,1980-01-01 00:00:00,1994-12-01 00:00:00
SO1 0BN,50.901357,-1.405709,441887,111488,SU418114,1986-04-01 00:00:00,1994-12-01 00:00:00
SO1 0BP,50.900699,-1.405291,441917,111415,SU419114,1980-01-01 00:00:00,1994-12-01 00:00:00
SO1 0BQ,50.900699,-1.405291,441917,111415,SU419114,1980-01-01 00:00:00,1994-12-01 00:00:00
SO1 0BR,50.899847,-1.404064,442004,111321,SU420113,1980-01-01 00:00:00,1994-12-01 00:00:00
SO1 0BS,50.900081,-1.404076,442003,111347,SU420113,1980-01-01 00:00:00,1994-12-01 00:00:00
SO1 0BT,50.900981,-1.40432,441985,111447,SU419114,1980-01-01 00:00:00,1994-12-01 00:00:00
SO1 0BU,50.901554,-1.40555,441898,111510,SU418115,1980-01-01 00:00:00,1994-12-01 00:00:00
SO1 0BW,50.900857,-1.404521,441971,111433,SU419114,1980-01-01 00:00:00,1994-12-01 00:00:00
SO1 0BX,50.901975,-1.405104,441929,111557,SU419115,1981-06-01 00:00:00,1994-12-01 00:00:00
SO1 0BY,50.902072,-1.404733,441955,111568,SU419115,1980-01-01 00:00:00,1994-12-01 00:00:00
SO1 0BZ,50.901485,-1.406077,441861,111502,SU418115,1980-01-01 00:00:00,1994-12-01 00:00:00
SO1 0DA,50.902973,-1.405091,441929,111668,SU419116,1980-01-01 00:00:00,1994-12-01 00:00:00
SO1 0DB,50.904681,-1.406819,441806,111857,SU418118,1980-01-01 00:00:00,1994-12-01 00:00:00
SO1 0DD,50.901763,-1.405945,441870,111533,SU418115,1980-01-01 00:00:00,1994-12-01 00:00:00
SO1 0DF,50.901184,-1.403535,442040,111470,SU420114,1980-01-01 00:00:00,1994-12-01 00:00:00
SO1 0DH,50.90212,-1.403666,442030,111574,SU420115,1980-01-01 00:00:00,1994-12-01 00:00:00
SO1 0DJ,50.902623,-1.403588,442035,111630,SU420116,1980-01-01 00:00:00,1994-12-01 00:00:00
SO1 0DL,50.90293,-1.403741,442024,111664,SU420116,1980-01-01 00:00:00,1994-12-01 00:00:00
SO1 0DN,50.902356,-1.404089,442000,111600,SU420116,1980-01-01 00:00:00,1990-12-01 00:00:00
SO1 0DP,50.901319,-1.40342,442048,111485,SU420114,1993-08-01 00:00:00,1994-12-01 00:00:00
SO1 0DQ,50.903352,-1.403707,442026,111711,SU420117,1980-01-01 00:00:00,1994-12-01 00:00:00
SO1 0DR,50.903793,-1.403687,442027,111760,SU420117,1980-01-01 00:00:00,1994-12-01 00:00:00
SO1 0DS,50.904685,-1.404102,441997,111859,SU419118,1980-01-01 00:00:00,1994-12-01 00:00:00
SO1 0DT,50.905666,-1.404218,441988,111968,SU419119,1980-01-01 00:00:00,1994-12-01 00:00:00
SO1 0DU,50.907573,-1.404236,441985,112180,SU419121,1980-01-01 00:00:00,1994-12-01 00:00:00
SO1 0DW,50.908985,-1.404403,441972,112337,SU419123,1980-01-01 00:00:00,1994-12-01 00:00:00
SO1 0DX,50.903529,-1.404899,441942,111730,SU419117,1980-01-01 00:00:00,1994-12-01 00:00:00
SO1 0DY,50.90347,-1.405568,441895,111723,SU418117,1980-01-01 00:00:00,1994-12-01 00:00:00
SO1 0DZ,50.904545,-1.404758,441951,111843,SU419118,1980-01-01 00:00:00,1994-12-01 00:00:00
SO1 0EA,50.909069,-1.405056,441926,112346,SU419123,1991-09-01 00:00:00,1994-12-01 00:00:00
