Postcode,Latitude,Longitude,Easting,Northing,GridRef,Introduced,Terminated
AB2 0AA,57.209457,-2.188585,388707,813203,NJ887132,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0AB,57.211129,-2.187997,388743,813389,NJ887133,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0AD,57.209683,-2.187609,388766,813228,NJ887132,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0AE,57.211157,-2.18707,388799,813392,NJ887133,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0AF,57.197625,-2.206794,387603,811889,NJ876118,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0AH,57.214788,-2.186112,388858,813796,NJ888137,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0AJ,57.21966,-2.183487,389018,814338,NJ890143,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0AL,57.221032,-2.179453,389262,814490,NJ892144,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0AN,57.208801,-2.169991,389830,813127,NJ898131,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0AP,57.206682,-2.155531,390703,812889,NJ907128,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0AQ,57.215785,-2.144724,391358,813901,NJ913139,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0AR,57.207354,-2.133452,392037,812961,NJ920129,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0AS,57.229514,-2.15031,391024,815430,NJ910154,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0AT,57.224,-2.156515,390648,814817,NJ906148,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0AU,57.205037,-2.188943,388684,812711,NJ886127,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0AW,57.206662,-2.177099,389400,812890,NJ894128,1980-01-01 00:00:00,1995-12-01 00:00:00
AB2 0AX,57.205009,-2.189803,388632,812708,NJ886127,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0AY,57.205097,-2.190731,388576,812718,NJ885127,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0AZ,57.199859,-2.185474,388892,812134,NJ888121,1980-04-01 00:00:00,1996-06-01 00:00:00
AB2 0BA,57.205592,-2.190551,388587,812773,NJ885127,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0BB,57.206246,-2.185622,388885,812845,NJ888128,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0BD,57.205859,-2.186067,388858,812802,NJ888128,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0BE,57.206834,-2.188836,388691,812911,NJ886129,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0BF,57.21605,-2.194728,388338,813938,NJ883139,1982-04-01 00:00:00,1996-06-01 00:00:00
AB2 0BG,57.211903,-2.198928,388083,813477,NJ880134,1995-12-01 00:00:00,1996-06-01 00:00:00
AB2 0BH,57.206557,-2.187858,388750,812880,NJ887128,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0BJ,57.206787,-2.189779,388634,812906,NJ886129,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0BL,57.207438,-2.187217,388789,812978,NJ887129,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0BN,57.206784,-2.186138,388854,812905,NJ888129,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0BP,57.207503,-2.185761,388877,812985,NJ888129,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0BQ,57.207861,-2.186987,388803,813025,NJ888130,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0BR,57.208669,-2.187025,388801,813115,NJ888131,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0BS,57.208188,-2.18396,388986,813061,NJ889130,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0BT,57.207919,-2.184025,388982,813031,NJ889130,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0BU,57.207658,-2.184023,388982,813002,NJ889130,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0BX,57.207292,-2.182813,389055,812961,NJ890129,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0BY,57.206858,-2.184317,388964,812913,NJ889129,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0BZ,57.205358,-2.207715,387550,812750,NJ875127,1995-12-01 00:00:00,1996-06-01 00:00:00
AB2 0DA,57.209632,-2.186003,388863,813222,NJ888132,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0DB,57.210622,-2.184617,388947,813332,NJ889133,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0DD,57.211726,-2.185202,388912,813455,NJ889134,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0DE,57.211312,-2.185465,388896,813409,NJ888134,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0DF,57.197134,-2.181621,389124,811830,NJ891118,1983-10-01 00:00:00,1996-06-01 00:00:00
AB2 0DG,57.209397,-2.18034,389205,813195,NJ892131,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0DH,57.210772,-2.186423,388838,813349,NJ888133,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0DJ,57.210098,-2.186568,388829,813274,NJ888132,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0DL,57.208594,-2.189044,388679,813107,NJ886131,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0DN,57.208164,-2.18828,388725,813059,NJ887130,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0DP,57.214258,-2.197963,388142,813739,NJ881137,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0DQ,57.206022,-2.191331,388540,812821,NJ885128,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0DR,57.20442,-2.192697,388457,812643,NJ884126,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0DS,57.204067,-2.194433,388352,812604,NJ883126,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0DT,57.203011,-2.192292,388481,812486,NJ884124,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0DU,57.200496,-2.203434,387807,812208,NJ878122,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0DW,57.200903,-2.190047,388616,812251,NJ886122,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0DX,57.203303,-2.189298,388662,812518,NJ886125,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0DY,57.202415,-2.188284,388723,812419,NJ887124,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0DZ,57.201608,-2.193129,388430,812330,NJ884123,1980-01-01 00:00:00,1995-12-01 00:00:00
AB2 0EA,57.197721,-2.179059,389279,811895,NJ892118,1990-09-01 00:00:00,1996-06-01 00:00:00
AB2 0EB,57.20238,-2.18739,388777,812415,NJ887124,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0ED,57.202781,-2.189742,388635,812460,NJ886124,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0EE,57.203708,-2.188506,388710,812563,NJ887125,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0EF,57.199206,-2.177063,389400,812060,NJ894120,1974-01-01 00:00:00,1992-07-01 00:00:00
AB2 0EG,57.201608,-2.193129,388430,812330,NJ884123,1980-01-01 00:00:00,1995-02-01 00:00:00
AB2 0EH,57.203925,-2.187894,388747,812587,NJ887125,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0EJ,57.203957,-2.190493,388590,812591,NJ885125,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0EL,57.204419,-2.187963,388743,812642,NJ887126,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0EN,57.20372,-2.186933,388805,812564,NJ888125,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0EP,57.205569,-2.187456,388774,812770,NJ887127,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0EQ,57.217427,-2.215482,387085,814095,NJ870140,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0ER,57.204798,-2.220126,386800,812690,NJ868126,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0ES,57.20692,-2.218698,386887,812926,NJ868129,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0ET,57.198815,-2.186793,388812,812018,NJ888120,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0EU,57.209619,-2.211215,387340,813225,NJ873132,1992-01-01 00:00:00,1996-06-01 00:00:00
AB2 0EW,57.205212,-2.186196,388850,812730,NJ888127,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0EX,57.213784,-2.196471,388232,813686,NJ882136,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0EY,57.218667,-2.204064,387775,814231,NJ877142,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0EZ,57.197804,-2.190064,388614,811906,NJ886119,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0FA,57.204351,-2.185116,388915,812634,NJ889126,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0FB,57.205059,-2.185914,388867,812713,NJ888127,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0FD,57.205162,-2.183531,389011,812724,NJ890127,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0FE,57.203758,-2.185311,388903,812568,NJ889125,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0FF,57.203139,-2.184597,388946,812499,NJ889124,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0FG,57.202646,-2.184197,388970,812444,NJ889124,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0FH,57.203681,-2.182414,389078,812559,NJ890125,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0FJ,57.203468,-2.180891,389170,812535,NJ891125,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0FL,57.200306,-2.186668,388820,812184,NJ888121,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0FN,57.201151,-2.186341,388840,812278,NJ888122,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0FP,57.201016,-2.180465,389195,812262,NJ891122,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0FQ,57.201424,-2.184141,388973,812308,NJ889123,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0FR,57.201912,-2.182157,389093,812362,NJ890123,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0FS,57.202114,-2.179279,389267,812384,NJ892123,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0FT,57.20295,-2.178488,389315,812477,NJ893124,1980-01-01 00:00:00,1996-06-01 00:00:00
AB2 0FU,57.203007,-2.176734,389421,812483,NJ894124,1980-01-01 00:00:00,1996-06-01 00:00:00
