Postcode,Latitude,Longitude,Easting,Northing,GridRef,Introduced,Terminated
BL4 9LW,53.531985,-2.401263,373500,404000,SD735040,1980-01-01 00:00:00,1986-12-01 00:00:00
M27 0AA,53.505699,-2.348048,377013,401057,SD770010,1994-12-01 00:00:00,
M27 0AB,53.505841,-2.351683,376772,401074,SD767010,1995-01-01 00:00:00,1998-06-01 00:00:00
M27 0AD,53.501051,-2.363493,375986,400545,SD759005,1995-12-01 00:00:00,
M27 0AF,53.503049,-2.350544,376846,400763,SD768007,1994-05-01 00:00:00,
M27 0AG,53.503247,-2.35029,376863,400785,SD768007,1994-05-01 00:00:00,
M27 0AQ,53.502439,-2.350238,376866,400695,SD768006,1994-05-01 00:00:00,
M27 0AR,53.503673,-2.349328,376927,400832,SD769008,1994-05-01 00:00:00,
M27 0AS,53.50372,-2.351726,376768,400838,SD767008,1994-05-01 00:00:00,
M27 0AT,53.504153,-2.351232,376801,400886,SD768008,1994-05-01 00:00:00,
M27 0AU,53.504958,-2.352535,376715,400976,SD767009,1994-05-01 00:00:00,
M27 0AW,53.502523,-2.349138,376939,400704,SD769007,1994-05-01 00:00:00,
M27 0AX,53.505058,-2.352054,376747,400987,SD767009,1994-05-01 00:00:00,
M27 0AY,53.505204,-2.351331,376795,401003,SD767010,1994-05-01 00:00:00,
M27 0AZ,53.504727,-2.351327,376795,400950,SD767009,1994-05-01 00:00:00,
M27 0BA,53.505135,-2.350275,376865,400995,SD768009,1994-05-01 00:00:00,
M27 0BB,53.504471,-2.349908,376889,400921,SD768009,1994-05-01 00:00:00,
M27 0BD,53.506497,-2.351809,376764,401147,SD767011,1994-05-01 00:00:00,
M27 0BE,53.507141,-2.352734,376703,401219,SD767012,1994-05-01 00:00:00,
M27 0BF,53.504325,-2.350766,376832,400905,SD768009,1994-05-01 00:00:00,
M27 0BG,53.504958,-2.349414,376922,400975,SD769009,1994-05-01 00:00:00,
M27 0BJ,53.506177,-2.350615,376843,401111,SD768011,2000-12-01 00:00:00,2001-06-01 00:00:00
M27 0BL,53.505841,-2.351683,376772,401074,SD767010,1998-12-01 00:00:00,2000-06-01 00:00:00
M27 0BN,53.498997,-2.353074,376676,400313,SD766003,1994-05-01 00:00:00,
M27 0BP,53.498662,-2.353629,376639,400276,SD766002,1994-05-01 00:00:00,
M27 0BQ,53.506177,-2.350615,376843,401111,SD768011,2001-06-01 00:00:00,
M27 0BR,53.498962,-2.352485,376715,400309,SD767003,1994-05-01 00:00:00,
M27 0BS,53.499067,-2.353662,376637,400321,SD766003,1994-05-01 00:00:00,
M27 0BT,53.497324,-2.353406,376653,400127,SD766001,1994-05-01 00:00:00,
M27 0BU,53.497182,-2.352591,376707,400111,SD767001,1994-05-01 00:00:00,
M27 0BW,53.502967,-2.360087,376213,400757,SD762007,2001-06-01 00:00:00,
M27 0BX,53.497908,-2.353291,376661,400192,SD766001,1994-05-01 00:00:00,
M27 0DJ,53.502557,-2.355696,376504,400710,SD765007,1994-05-01 00:00:00,
M27 0DL,53.503051,-2.355957,376487,400765,SD764007,1994-05-01 00:00:00,
M27 0DP,53.502018,-2.355586,376511,400650,SD765006,1994-05-01 00:00:00,
M27 0DQ,53.503751,-2.359355,376262,400844,SD762008,1994-05-01 00:00:00,
M27 0DR,53.501388,-2.362079,376080,400582,SD760005,1994-05-01 00:00:00,
M27 0DS,53.502292,-2.363142,376010,400683,SD760006,1994-05-01 00:00:00,
M27 0DT,53.501841,-2.363696,375973,400633,SD759006,1994-05-01 00:00:00,
M27 0DX,53.502552,-2.35146,376785,400708,SD767007,1994-05-01 00:00:00,
M27 0DY,53.501718,-2.350669,376837,400615,SD768006,1994-05-01 00:00:00,
M27 0DZ,53.500923,-2.35211,376741,400527,SD767005,1994-05-01 00:00:00,
M27 0EA,53.500565,-2.35176,376764,400487,SD767004,1994-05-01 00:00:00,
M27 0EB,53.500408,-2.353176,376670,400470,SD766004,1994-05-01 00:00:00,
M27 0ED,53.501601,-2.353955,376619,400603,SD766006,1994-05-01 00:00:00,
M27 0EE,53.50224,-2.353538,376647,400674,SD766006,1994-05-01 00:00:00,
M27 0EF,53.503344,-2.354029,376615,400797,SD766007,1994-05-01 00:00:00,
M27 0EH,53.502379,-2.355227,376535,400690,SD765006,1994-05-01 00:00:00,
M27 0EJ,53.503486,-2.36077,376168,400815,SD761008,1994-05-01 00:00:00,
M27 0EL,53.504661,-2.355639,376509,400944,SD765009,1994-05-01 00:00:00,
M27 0EN,53.505893,-2.355423,376524,401081,SD765010,1994-05-01 00:00:00,
M27 0EP,53.502294,-2.362478,376054,400683,SD760006,1994-05-01 00:00:00,
M27 0EQ,53.506599,-2.35659,376447,401160,SD764011,1994-05-01 00:00:00,
M27 0ER,53.502816,-2.362257,376069,400741,SD760007,1994-05-01 00:00:00,
M27 0ES,53.504134,-2.357639,376376,400886,SD763008,1994-05-01 00:00:00,
M27 0ET,53.504628,-2.357613,376378,400941,SD763009,1994-05-01 00:00:00,
M27 0EU,53.505221,-2.357648,376376,401007,SD763010,1994-05-01 00:00:00,
M27 0EW,53.505932,-2.354232,376603,401085,SD766010,1994-05-01 00:00:00,
M27 0EX,53.506741,-2.357345,376397,401176,SD763011,1994-05-01 00:00:00,
M27 0EY,53.505712,-2.358648,376310,401062,SD763010,1994-05-01 00:00:00,
M27 0EZ,53.504992,-2.359154,376276,400982,SD762009,1994-05-01 00:00:00,
M27 0FA,53.500469,-2.353734,376633,400477,SD766004,1994-05-01 00:00:00,
M27 0FB,53.500571,-2.35274,376699,400488,SD766004,1994-05-01 00:00:00,
M27 0FD,53.502729,-2.352381,376724,400728,SD767007,1994-05-01 00:00:00,
M27 0FE,53.502826,-2.353121,376675,400739,SD766007,1994-05-01 00:00:00,
M27 0FF,53.502138,-2.354698,376570,400663,SD765006,1994-05-01 00:00:00,
M27 0FG,53.500578,-2.353238,376666,400489,SD766004,1994-05-01 00:00:00,
M27 0FH,53.503372,-2.356668,376440,400801,SD764008,1994-05-01 00:00:00,
M27 0FJ,53.503523,-2.357544,376382,400818,SD763008,1994-05-01 00:00:00,
M27 0FL,53.504003,-2.356357,376461,400871,SD764008,1994-05-01 00:00:00,
M27 0FN,53.504045,-2.354171,376606,400875,SD766008,1994-05-01 00:00:00,
M27 0FP,53.503872,-2.348863,376958,400854,SD769008,1994-05-01 00:00:00,
M27 0FQ,53.502046,-2.35224,376733,400652,SD767006,1994-05-01 00:00:00,
M27 0FR,53.502932,-2.353694,376637,400751,SD766007,1998-12-01 00:00:00,
M27 0FS,53.504661,-2.358699,376306,400945,SD763009,1994-05-01 00:00:00,
M27 0FT,53.504694,-2.356679,376440,400948,SD764009,1994-05-01 00:00:00,
M27 0FU,53.505896,-2.357322,376398,401082,SD763010,1994-05-01 00:00:00,
M27 0FW,53.503862,-2.355376,376526,400855,SD765008,1994-05-01 00:00:00,
M27 0FX,53.506793,-2.357978,376355,401182,SD763011,1994-05-01 00:00:00,
M27 0FY,53.505027,-2.359547,376250,400986,SD762009,1994-05-01 00:00:00,
M27 0FZ,53.506017,-2.359163,376276,401096,SD762010,1994-05-01 00:00:00,
M27 0GB,53.502865,-2.355051,376547,400744,SD765007,1994-05-01 00:00:00,
M27 0GD,53.502318,-2.354699,376570,400683,SD765006,1994-05-01 00:00:00,
M27 0GE,53.502953,-2.358655,376308,400755,SD763007,1994-05-01 00:00:00,
M27 0GF,53.503707,-2.358993,376286,400839,SD762008,1994-05-01 00:00:00,
M27 0GG,53.507345,-2.356807,376433,401243,SD764012,1994-05-01 00:00:00,
M27 0GJ,53.503374,-2.359246,376269,400802,SD762008,1994-12-01 00:00:00,
M27 0GL,53.504902,-2.353123,376676,400970,SD766009,2008-11-01 00:00:00,
